Timestamp,Pod_Name,CPU_m,Memory_Mi
09:25:20,ghost-deployment-74496d68fd-vqqdt,3m,108Mi
09:25:20,ghost-mysql-c75f59f48-8wfzd,4m,477Mi
09:25:25,ghost-deployment-74496d68fd-vqqdt,3m,108Mi
09:25:25,ghost-mysql-c75f59f48-8wfzd,4m,477Mi
09:25:30,ghost-deployment-74496d68fd-vqqdt,3m,108Mi
09:25:30,ghost-mysql-c75f59f48-8wfzd,4m,477Mi
09:25:35,ghost-deployment-74496d68fd-vqqdt,73m,116Mi
09:25:35,ghost-mysql-c75f59f48-8wfzd,4m,477Mi
09:25:40,ghost-deployment-74496d68fd-vqqdt,73m,116Mi
09:25:40,ghost-mysql-c75f59f48-8wfzd,4m,477Mi
09:25:45,ghost-deployment-74496d68fd-vqqdt,73m,116Mi
09:25:45,ghost-mysql-c75f59f48-8wfzd,4m,477Mi
09:25:50,ghost-deployment-74496d68fd-vqqdt,676m,146Mi
09:25:50,ghost-mysql-c75f59f48-8wfzd,99m,477Mi
09:25:55,ghost-deployment-74496d68fd-vqqdt,676m,146Mi
09:25:55,ghost-mysql-c75f59f48-8wfzd,99m,477Mi
09:26:00,ghost-deployment-74496d68fd-vqqdt,676m,146Mi
09:26:00,ghost-mysql-c75f59f48-8wfzd,99m,477Mi
09:26:05,ghost-deployment-74496d68fd-l7fnf,344m,94Mi
09:26:05,ghost-deployment-74496d68fd-vqqdt,770m,152Mi
09:26:05,ghost-mysql-c75f59f48-8wfzd,179m,477Mi
09:26:10,ghost-deployment-74496d68fd-l7fnf,344m,94Mi
09:26:10,ghost-deployment-74496d68fd-vqqdt,770m,152Mi
09:26:10,ghost-mysql-c75f59f48-8wfzd,179m,477Mi
09:26:16,ghost-deployment-74496d68fd-l7fnf,344m,94Mi
09:26:16,ghost-deployment-74496d68fd-vqqdt,770m,152Mi
09:26:16,ghost-mysql-c75f59f48-8wfzd,179m,477Mi
09:26:21,ghost-deployment-74496d68fd-l7fnf,344m,94Mi
09:26:21,ghost-deployment-74496d68fd-vqqdt,862m,154Mi
09:26:21,ghost-mysql-c75f59f48-8wfzd,202m,477Mi
09:26:26,ghost-deployment-74496d68fd-l7fnf,344m,94Mi
09:26:26,ghost-deployment-74496d68fd-vqqdt,862m,154Mi
09:26:26,ghost-mysql-c75f59f48-8wfzd,202m,477Mi
09:26:31,ghost-deployment-74496d68fd-l7fnf,344m,94Mi
09:26:31,ghost-deployment-74496d68fd-vqqdt,862m,154Mi
09:26:31,ghost-mysql-c75f59f48-8wfzd,202m,477Mi
09:26:36,ghost-deployment-74496d68fd-l7fnf,10m,81Mi
09:26:36,ghost-deployment-74496d68fd-nslwx,353m,93Mi
09:26:36,ghost-deployment-74496d68fd-vqqdt,764m,157Mi
09:26:36,ghost-mysql-c75f59f48-8wfzd,202m,477Mi
09:26:41,ghost-deployment-74496d68fd-l7fnf,10m,81Mi
09:26:41,ghost-deployment-74496d68fd-nslwx,353m,93Mi
09:26:41,ghost-deployment-74496d68fd-vqqdt,764m,157Mi
09:26:41,ghost-mysql-c75f59f48-8wfzd,202m,477Mi
09:26:46,ghost-deployment-74496d68fd-l7fnf,10m,81Mi
09:26:46,ghost-deployment-74496d68fd-nslwx,353m,93Mi
09:26:46,ghost-deployment-74496d68fd-vqqdt,764m,157Mi
09:26:46,ghost-mysql-c75f59f48-8wfzd,202m,477Mi
09:26:51,ghost-deployment-74496d68fd-l7fnf,455m,147Mi
09:26:51,ghost-deployment-74496d68fd-nslwx,1m,93Mi
09:26:51,ghost-deployment-74496d68fd-vqqdt,681m,150Mi
09:26:51,ghost-mysql-c75f59f48-8wfzd,198m,478Mi
09:26:56,ghost-deployment-74496d68fd-l7fnf,455m,147Mi
09:26:56,ghost-deployment-74496d68fd-nslwx,1m,93Mi
09:26:56,ghost-deployment-74496d68fd-vqqdt,681m,150Mi
09:26:56,ghost-mysql-c75f59f48-8wfzd,198m,478Mi
09:27:01,ghost-deployment-74496d68fd-l7fnf,455m,147Mi
09:27:01,ghost-deployment-74496d68fd-nslwx,1m,93Mi
09:27:01,ghost-deployment-74496d68fd-vqqdt,681m,150Mi
09:27:01,ghost-mysql-c75f59f48-8wfzd,198m,478Mi
09:27:06,ghost-deployment-74496d68fd-l7fnf,586m,151Mi
09:27:06,ghost-deployment-74496d68fd-nslwx,97m,110Mi
09:27:06,ghost-deployment-74496d68fd-vqqdt,544m,152Mi
09:27:06,ghost-mysql-c75f59f48-8wfzd,237m,479Mi
09:27:11,ghost-deployment-74496d68fd-l7fnf,586m,151Mi
09:27:11,ghost-deployment-74496d68fd-nslwx,97m,110Mi
09:27:11,ghost-deployment-74496d68fd-vqqdt,544m,152Mi
09:27:11,ghost-mysql-c75f59f48-8wfzd,237m,479Mi
09:27:16,ghost-deployment-74496d68fd-l7fnf,586m,151Mi
09:27:16,ghost-deployment-74496d68fd-nslwx,97m,110Mi
09:27:16,ghost-deployment-74496d68fd-vqqdt,544m,152Mi
09:27:16,ghost-mysql-c75f59f48-8wfzd,237m,479Mi
09:27:21,ghost-deployment-74496d68fd-l7fnf,531m,151Mi
09:27:21,ghost-deployment-74496d68fd-nslwx,362m,142Mi
09:27:21,ghost-deployment-74496d68fd-vqqdt,448m,153Mi
09:27:21,ghost-mysql-c75f59f48-8wfzd,237m,479Mi
09:27:27,ghost-deployment-74496d68fd-l7fnf,531m,151Mi
09:27:27,ghost-deployment-74496d68fd-nslwx,362m,142Mi
09:27:27,ghost-deployment-74496d68fd-vqqdt,448m,153Mi
09:27:27,ghost-mysql-c75f59f48-8wfzd,237m,479Mi
09:27:32,ghost-deployment-74496d68fd-l7fnf,531m,151Mi
09:27:32,ghost-deployment-74496d68fd-nslwx,362m,142Mi
09:27:32,ghost-deployment-74496d68fd-vqqdt,448m,153Mi
09:27:32,ghost-mysql-c75f59f48-8wfzd,237m,479Mi
09:27:37,ghost-deployment-74496d68fd-l7fnf,390m,147Mi
09:27:37,ghost-deployment-74496d68fd-nslwx,469m,149Mi
09:27:37,ghost-deployment-74496d68fd-vqqdt,334m,153Mi
09:27:37,ghost-mysql-c75f59f48-8wfzd,223m,479Mi
09:27:42,ghost-deployment-74496d68fd-l7fnf,390m,147Mi
09:27:42,ghost-deployment-74496d68fd-nslwx,469m,149Mi
09:27:42,ghost-deployment-74496d68fd-vqqdt,334m,153Mi
09:27:42,ghost-mysql-c75f59f48-8wfzd,223m,479Mi
09:27:47,ghost-deployment-74496d68fd-l7fnf,390m,147Mi
09:27:47,ghost-deployment-74496d68fd-nslwx,469m,149Mi
09:27:47,ghost-deployment-74496d68fd-vqqdt,334m,153Mi
09:27:47,ghost-mysql-c75f59f48-8wfzd,223m,479Mi
09:27:52,ghost-deployment-74496d68fd-l7fnf,336m,151Mi
09:27:52,ghost-deployment-74496d68fd-nslwx,393m,150Mi
09:27:52,ghost-deployment-74496d68fd-vqqdt,364m,137Mi
09:27:52,ghost-mysql-c75f59f48-8wfzd,211m,480Mi
09:27:57,ghost-deployment-74496d68fd-l7fnf,336m,151Mi
09:27:57,ghost-deployment-74496d68fd-nslwx,393m,150Mi
09:27:57,ghost-deployment-74496d68fd-vqqdt,364m,137Mi
09:27:57,ghost-mysql-c75f59f48-8wfzd,211m,480Mi
09:28:02,ghost-deployment-74496d68fd-l7fnf,336m,151Mi
09:28:02,ghost-deployment-74496d68fd-nslwx,393m,150Mi
09:28:02,ghost-deployment-74496d68fd-vqqdt,364m,137Mi
09:28:02,ghost-mysql-c75f59f48-8wfzd,211m,480Mi
09:28:07,ghost-deployment-74496d68fd-l7fnf,369m,153Mi
09:28:07,ghost-deployment-74496d68fd-nslwx,434m,154Mi
09:28:07,ghost-deployment-74496d68fd-vqqdt,385m,153Mi
09:28:07,ghost-mysql-c75f59f48-8wfzd,228m,480Mi
09:28:12,ghost-deployment-74496d68fd-l7fnf,369m,153Mi
09:28:12,ghost-deployment-74496d68fd-nslwx,434m,154Mi
09:28:12,ghost-deployment-74496d68fd-vqqdt,385m,153Mi
09:28:12,ghost-mysql-c75f59f48-8wfzd,228m,480Mi
09:28:17,ghost-deployment-74496d68fd-l7fnf,369m,153Mi
09:28:17,ghost-deployment-74496d68fd-nslwx,434m,154Mi
09:28:17,ghost-deployment-74496d68fd-vqqdt,385m,153Mi
09:28:17,ghost-mysql-c75f59f48-8wfzd,228m,480Mi
