Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
100,1.0,2.52,5.0,305.0,494.0,1063.1,1544.0,116.94,118.0,98.71,310.0
200,1.0,2.37,5.0,313.0,496.0,1380.98,1580.0,83.47,85.0,100.0,244.0
300,1.0,2.35,5.0,313.0,496.0,1346.74,1566.0,85.32,88.0,89.84,256.0
400,1.0,2.38,5.0,313.0,496.0,1335.78,1605.0,87.46,91.0,99.24,262.0
500,1.0,2.35,5.0,313.0,496.0,1225.64,1581.0,88.29,94.0,98.57,280.0
Average,1.0,2.394,5.0,311.4,495.6,1270.4479999999999,1575.2,92.296,95.2,97.27199999999999,270.4
