users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
100,279819.0,0.0,100.0,193.74,292.0,340.0,190.42,1.47,466.42,100.0,99.99,0.996
200,283504.0,0.0,100.0,381.39,619.0,756.0,374.77,5.14,472.52,100.0,99.99,0.908
300,284579.0,0.0,100.0,570.24,953.0,1146.0,562.53,9.61,474.3,100.0,99.99,0.732
400,289529.0,0.0,100.0,747.75,1209.0,1448.0,729.1,20.1,482.55,100.0,99.96,0.65
500,289753.0,0.0,100.0,943.59,1473.0,1744.0,891.85,33.67,482.93,100.0,99.98,0.581
Average,285436.8,0.0,100.0,567.342,909.2,1086.8,549.7339999999999,13.998000000000001,475.74399999999997,100.0,99.982,0.7734
