Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,72.01,101.0,0.82,4.28,4454.35,4486.0,569.86,16019.61,23586.32,13.5,113.0
200,88.93,101.0,0.31,8.0,4407.6,4441.0,933.24,16440.0,26659.73,10.6,86.0
300,85.62,101.0,0.4,7.52,4391.74,4414.0,466.82,16109.8,25690.6,11.2,88.0
400,83.92,101.0,0.44,6.65,4376.72,4408.0,551.12,13944.0,25745.81,11.4,89.0
500,79.83,101.0,0.44,7.44,4379.22,4413.0,654.74,15211.88,25116.19,12.0,93.0
Average,82.062,101.0,0.48199999999999993,6.7780000000000005,4401.926,4432.4,635.156,15545.058,25359.73,11.739999999999998,93.8
