Timestamp,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Context_Switches,IO_Read_S,IO_Write_S
17:00:31,7,4,1,987,3249,12513,4.00,248.00
17:00:38,5,4,2,979,3249,11854,0.00,452.00
17:00:45,6,5,3,985,3249,14151,0.00,304.00
17:00:52,6,5,2,984,3249,13312,0.00,288.00
17:00:59,10,6,4,982,3250,17502,0.00,260.00
17:01:06,32,11,1,978,3251,18457,0.00,632.00
17:01:13,57,21,0,975,3251,21959,0.00,92.00
17:01:20,60,16,2,930,3251,26220,0.00,124.00
17:01:27,58,15,2,826,3258,25089,0.00,168.00
17:01:34,61,16,1,766,3258,26072,0.00,400.00
17:01:41,58,15,1,669,3279,23627,0.00,209.90
17:01:49,82,18,0,552,3304,26291,0.00,440.00
17:01:56,79,21,0,273,3312,26569,0.00,532.00
17:02:03,74,25,0,256,3316,23204,0.00,164.00
17:02:10,76,24,0,132,3333,38249,60.00,392.00
17:02:17,82,19,0,124,3215,24049,0.00,200.00
17:02:25,80,20,0,187,3216,22361,160.00,284.00
17:02:32,81,20,0,156,3217,21988,32.00,216.00
17:02:39,83,16,0,158,3218,24965,780.00,1820.00
17:02:46,84,16,0,146,3241,22691,0.00,480.00
17:02:53,8,6,2,152,3241,12910,0.00,384.00
17:03:00,17,8,3,203,3242,15840,0.00,144.00
17:03:08,80,20,0,184,3263,24739,0.00,372.28
17:03:15,78,22,0,117,3273,26646,160.00,252.00
17:03:22,79,22,0,183,3159,23998,400.00,304.00
17:03:29,78,22,0,189,3162,27254,0.00,264.00
17:03:36,80,20,0,195,3162,25155,12.00,444.00
17:03:44,75,25,0,184,3163,23019,24.00,212.00
17:03:51,80,20,0,203,3163,25071,24.00,180.00
17:03:58,81,18,0,205,3165,23148,52.00,396.00
17:04:05,78,21,0,195,3166,25333,0.00,236.00
17:04:13,80,20,0,191,3166,25873,0.00,294.12
17:04:20,79,20,0,188,3167,32185,0.00,416.00
17:04:27,80,20,0,177,3168,24482,0.00,228.00
17:04:34,78,22,0,207,3168,26063,24.00,384.00
17:04:41,81,19,0,182,3169,25478,0.00,732.00
17:04:48,81,19,0,179,3169,22226,0.00,168.00
17:04:56,79,21,1,178,3170,20936,0.00,392.00
17:05:03,80,19,0,158,3170,23830,11.65,236.89
17:05:11,78,22,0,174,3171,28561,0.00,444.00
17:05:18,81,19,1,164,3172,23006,0.00,224.00
17:05:25,81,19,0,149,3172,24183,24.00,816.00
17:05:32,82,18,0,155,3172,23277,0.00,260.00
17:05:39,82,18,0,146,3173,21795,24.00,568.00
17:05:46,78,23,0,170,3174,24442,0.00,204.00
17:05:53,74,25,0,147,3174,21750,0.00,160.00
17:06:01,78,22,1,195,3174,27106,0.00,712.00
17:06:08,81,19,0,196,3175,26851,0.00,136.00
17:06:15,80,20,0,163,3176,23588,24.00,292.00
17:06:22,80,19,1,124,3177,23435,0.00,368.00
17:06:29,82,18,0,145,3177,24257,24.00,172.00
17:06:37,78,22,0,157,3177,24738,0.00,428.00
17:06:44,77,24,0,153,3178,24137,0.00,644.00
17:06:51,81,19,0,142,3179,24591,0.00,124.00
17:06:58,82,19,0,167,3179,24939,0.00,328.00
17:07:05,78,23,0,156,3180,27699,24.00,316.00
17:07:12,82,19,0,149,3180,26895,0.00,520.00
17:07:20,79,20,0,146,3181,28045,24.00,372.00
17:07:27,79,21,0,152,3152,24141,0.00,468.00
17:07:34,78,22,1,167,3153,24399,0.00,660.00
17:07:41,79,21,0,176,3153,25747,0.00,376.00
17:07:48,82,18,0,190,3154,27043,0.00,440.00
17:07:56,81,19,0,206,3154,30167,0.00,152.00
17:08:03,81,19,0,213,3155,23655,217.82,154.46
17:08:10,81,18,0,214,3156,24096,136.00,424.00
17:08:17,79,21,0,216,3158,26266,233.66,186.14
17:08:25,79,21,0,198,3160,20916,0.00,460.00
17:08:32,79,21,0,194,3161,24686,528.00,300.00
17:08:39,82,18,0,191,3167,23432,0.00,532.00
17:08:46,82,17,0,126,3168,23281,0.00,672.00
17:08:53,80,21,0,183,3169,22287,0.00,144.00
17:09:01,79,21,0,163,3169,26236,24.00,208.00
17:09:08,79,21,0,159,3170,26372,0.00,188.00
17:09:15,84,17,0,216,3170,22552,24.00,304.00
17:09:22,81,19,0,215,3171,24041,0.00,300.00
17:09:29,82,19,0,195,3171,24715,0.00,368.00
17:09:36,82,18,0,198,3172,24732,128.00,592.00
17:09:44,79,21,0,184,3172,24237,0.00,236.00
17:09:51,80,20,0,213,3173,24553,0.00,308.00
17:09:58,81,19,0,204,3173,25157,0.00,580.00
17:10:05,79,21,0,202,3174,25831,24.00,428.00
17:10:13,79,21,0,188,3174,30080,0.00,424.00
17:10:20,80,20,0,199,3175,28679,24.00,280.00
17:10:27,80,20,0,175,3175,26067,0.00,524.00
17:10:34,73,27,0,139,3147,21630,0.00,214.43
17:10:42,80,20,0,219,3119,23390,176.00,660.00
17:10:49,80,20,0,221,3120,29991,0.00,604.00
17:10:57,78,22,0,223,3120,26068,0.00,476.00
17:11:04,73,27,0,213,3121,23344,0.00,160.00
17:11:11,8,7,3,301,3121,16639,24.00,276.00
17:11:18,6,5,2,449,3122,13765,0.00,108.00
17:11:25,6,4,1,548,3122,11588,0.00,444.00
17:11:32,6,4,2,652,3122,13750,0.00,172.00
17:11:39,8,5,2,751,3122,13605,0.00,540.00
17:11:46,5,3,1,796,3123,12323,24.00,408.00
17:11:53,10,10,1,829,3123,13816,0.00,368.00
17:12:00,7,3,5,835,3123,16198,0.00,376.00
17:12:07,6,5,3,825,3124,14200,0.00,292.00
17:12:14,10,8,4,833,3124,14853,0.00,436.00
17:12:21,6,4,4,834,3124,15013,28.00,276.00
