users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
600,329536.0,0.0,100.0,1030.28,1726.0,2057.0,1027.57,27.64,527.51,100.0,99.98,0.556
700,320687.0,0.0,100.0,1234.73,2082.0,2428.0,1233.58,38.89,513.4,100.0,99.99,0.508
800,335454.0,0.0,100.0,1350.13,2286.0,2699.0,1348.91,46.61,536.73,100.0,99.99,0.475
900,321403.0,0.0,100.0,1584.4,2676.0,3181.0,1583.28,62.31,514.46,100.0,99.99,0.413
1000,321658.0,0.0,100.0,1758.39,2848.0,3448.0,1757.0,78.02,514.62,100.0,99.99,0.371
Average,325747.6,0.0,100.0,1391.5860000000002,2323.6,2762.6,1390.0679999999998,50.693999999999996,521.3439999999999,100.0,99.988,0.46460000000000007
