Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
600,1.0,3.86,10.0,277.3,380.0,1387.97,1568.0,92.02,96.0,100.0,250.0
700,1.0,3.92,14.0,277.5,380.0,1297.63,1574.0,93.44,98.0,99.2,250.0
800,1.0,3.83,11.0,277.75,380.0,1292.65,1595.0,95.22,103.0,97.6,250.0
900,1.0,3.68,11.0,277.98,380.0,1188.1,1581.0,95.97,106.0,99.2,250.0
1000,1.0,4.64,18.0,276.4,380.0,1133.94,1557.0,96.8,106.0,99.2,250.0
Average,1.0,3.9859999999999998,12.8,277.38599999999997,380.0,1260.0580000000002,1575.0,94.69,101.8,99.03999999999999,250.0
