Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
600,93.59,101.0,0.18,9.44,4315.04,4356.0,733.27,14452.0,27600.26,10.9,125.0
700,93.39,101.0,0.19,9.92,4291.85,4338.0,904.33,12154.46,28248.11,10.9,125.0
800,91.46,101.0,0.18,9.15,4280.82,4320.0,943.18,16076.0,27880.54,11.0,125.0
900,87.49,101.0,0.22,11.28,4271.98,4329.0,605.43,11772.0,26722.74,10.9,125.0
1000,83.21,101.0,0.43,12.4,4281.88,4319.0,907.26,11852.0,26134.13,10.9,125.0
Average,89.828,101.0,0.24,10.437999999999999,4288.314,4332.4,818.6939999999998,13261.291999999998,27317.156,10.919999999999998,125.0
