Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,17.04,34.0,2.29,0.7,4317.42,4341.0,347.12,2872.0,18957.52,10.6,91.0
200,16.01,31.0,2.21,0.71,4328.6,4345.0,357.08,2156.0,18060.51,11.4,98.0
300,14.74,28.0,2.2,0.62,4337.95,4360.0,328.7,1696.0,16548.29,21.9,188.0
400,16.28,34.0,2.12,0.82,4329.12,4355.0,371.74,2688.0,18446.99,11.4,98.0
500,16.99,42.0,2.24,1.01,4318.25,4361.0,348.83,2920.0,18773.27,12.1,104.0
Average,16.211999999999996,33.8,2.212,0.7719999999999999,4326.268,4352.4,350.694,2466.4,18157.316,13.479999999999999,115.8
