users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache hit (%),apdex
100,99700.0,100.0,0.0,542.53,746.0,787.0,502.58,9.77,166.17,100.0,0.746
200,87473.0,100.0,0.0,1236.64,1614.0,1673.0,1196.32,52.34,145.79,100.0,0.531
300,90738.0,100.0,0.0,1812.19,2201.3,2593.0,1731.41,105.17,151.23,100.0,0.412
400,95684.0,99.99,0.01,2265.65,2433.7,5105.0,2172.3,166.2,159.49,100.0,0.178
500,106195.0,100.0,0.0,2549.63,2749.0,6195.3,2409.95,201.05,176.99,100.0,0.104
Average,95958.0,99.998,0.002,1681.328,1948.8,3270.66,1602.5120000000002,106.90599999999999,159.934,100.0,0.3942
