Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
600,79.74,101.0,0.74,10.06,4180.91,4209.0,1129.12,12976.0,25076.0,10.8,125.0
700,76.11,101.0,0.67,10.5,4172.79,4219.0,1411.27,13417.48,24898.27,10.9,125.0
800,72.52,101.0,0.96,10.8,4164.88,4207.0,1342.79,15736.0,24870.62,10.9,125.0
900,69.4,101.0,0.94,9.28,4128.78,4167.0,1386.12,17804.0,22506.72,10.8,125.0
1000,70.51,101.0,2.2,9.85,4120.52,4171.0,1378.68,14160.0,24425.54,10.8,125.0
Average,73.65599999999999,101.0,1.1019999999999999,10.098,4153.576,4194.6,1329.596,14818.696,24355.43,10.84,125.0
