users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
600,269703.0,0.0,100.0,1258.87,2186.0,2861.0,1251.06,47.41,431.54,100.0,99.95,0.525
700,324947.0,0.0,100.0,1220.15,2269.0,2792.0,1216.99,43.75,520.08,100.0,99.98,0.517
800,305188.0,0.0,100.0,1484.97,2741.0,3284.0,1481.44,59.21,488.29,100.0,99.74,0.445
900,286364.0,0.0,100.0,1782.55,3099.0,3844.0,1773.69,93.79,458.16,100.0,99.95,0.376
1000,292882.0,0.0,100.0,1934.18,3339.0,4147.0,1917.51,115.42,468.64,100.0,99.91,0.339
Average,295816.8,0.0,100.0,1536.144,2726.8,3385.6,1528.1380000000001,71.91600000000001,473.342,100.0,99.90599999999999,0.4404
