Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
600,1.0,22.77,65.0,370.96,476.0,1083.01,1533.0,87.9,95.0,66.4,250.0
700,1.0,22.37,60.0,371.34,478.0,1024.47,1550.0,89.13,95.0,84.0,250.0
800,1.0,22.49,76.0,371.12,480.0,992.07,1554.0,92.02,108.0,88.8,250.0
900,1.0,21.23,79.0,373.02,482.0,935.86,1532.0,90.66,101.0,93.6,250.0
1000,1.0,20.58,62.0,373.2,483.0,872.27,1546.0,92.34,103.0,92.0,250.0
Average,1.0,21.887999999999998,68.4,371.928,479.8,981.5360000000001,1543.0,90.41000000000001,100.4,84.96,250.0
