users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache bypass (%),apdex
100,12316.0,100.0,0.0,4402.43,9980.5,11052.5,4221.66,14.31,20.53,100.0,0.313
200,10549.0,99.64,0.36,10314.43,20967.6,31446.0,9824.93,54.77,17.58,100.0,0.139
300,28091.0,30.18,69.82,5853.93,17744.0,34612.5,5736.15,35.05,46.82,100.0,0.699
400,76571.0,10.57,89.43,2955.18,4752.0,12248.0,2921.32,10.73,127.63,100.0,0.862
500,127951.0,5.14,94.86,2252.44,893.0,5570.0,2239.89,10.71,213.48,100.0,0.901
Average,51095.6,49.105999999999995,50.894000000000005,5155.682,10867.42,18985.8,4988.789999999999,25.113999999999997,85.208,100.0,0.5828
