Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,92.32,101.0,0.24,77.5,3339.46,4397.0,488.36,4396.0,23410.84,10.4,87.0
200,86.48,101.0,0.41,140.69,2720.62,4249.0,841.48,16460.0,22682.63,11.3,93.0
300,88.4,101.0,3.85,181.0,2498.44,4362.0,12953.93,128184.0,26606.88,10.6,88.0
400,72.71,101.0,6.17,128.89,2941.4,4050.0,7168.05,73304.0,23422.29,12.4,104.0
500,78.06,101.0,3.41,95.83,3227.36,4031.0,3581.51,55976.0,49779.87,12.0,99.0
Average,83.59400000000001,101.0,2.816,124.782,2945.456,4217.8,5006.666,55664.0,29180.502,11.34,94.2
