Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),Samples
100,4.0,302.35,952.0,336.19,655.0,28.25,32.0,55.93,80.0,560.0
200,4.0,296.81,992.0,494.11,838.0,25.91,33.0,59.29,62.0,560.0
300,6.0,274.68,953.0,526.81,1023.0,26.82,163.0,64.89,87.0,464.0
400,4.0,242.62,994.0,507.57,1021.0,28.06,134.0,70.21,79.0,499.0
500,3.0,239.06,996.0,488.57,1020.0,193.32,836.0,135.06,527.0,374.0
Average,4.2,271.104,977.4,470.65,911.4,60.472,239.6,77.076,167.0,491.4
