Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
600,91.67,101.0,0.18,9.88,4325.14,4359.0,869.38,16132.0,26871.89,10.8,125.0
700,88.47,101.0,0.38,12.41,4320.85,4362.0,378.68,11855.38,26396.7,10.9,125.0
800,84.56,101.0,0.4,10.59,4326.94,4356.0,620.05,14296.0,26401.43,10.8,125.0
900,81.98,101.0,0.3,11.36,4323.78,4353.0,1040.32,15556.86,24486.69,11.0,125.0
1000,79.82,101.0,0.39,9.9,4310.55,4353.0,1105.93,49264.0,25438.42,10.8,125.0
Average,85.3,101.0,0.32999999999999996,10.828,4321.451999999999,4356.6,802.872,21420.847999999998,25919.025999999998,10.86,125.0
