Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
600,1.0,2.2,4.0,267.5,477.0,1303.87,1581.0,92.64,97.0,84.8,250.0
700,1.0,2.2,4.0,267.5,477.0,1272.46,1594.0,96.6,114.0,100.0,250.0
800,1.0,2.25,5.0,267.5,477.0,1209.75,1621.0,95.16,102.0,100.0,250.0
900,1.0,2.23,5.0,267.5,477.0,1141.91,1605.0,96.84,105.0,100.0,250.0
1000,1.0,2.34,4.0,267.5,477.0,1102.06,1617.0,98.08,107.0,100.0,250.0
Average,1.0,2.244,4.4,267.5,477.0,1206.0099999999998,1603.6,95.864,105.0,96.96000000000001,250.0
