users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
600,280918.0,0.0,100.0,1208.26,2022.0,2391.0,1204.0,39.05,449.48,100.0,99.97,0.523
700,287961.0,0.0,100.0,1374.88,2327.0,2797.0,1368.36,42.97,460.78,100.0,99.74,0.474
800,293481.0,0.0,100.0,1541.89,2572.0,3156.0,1539.43,61.28,469.59,100.0,99.99,0.43
900,292051.0,0.0,100.0,1744.79,2880.0,3515.0,1743.13,78.17,467.27,100.0,99.99,0.381
1000,291915.0,0.0,100.0,1943.1,3357.0,4045.0,1935.92,102.43,467.05,100.0,99.96,0.342
Average,289265.2,0.0,100.0,1562.584,2631.6,3180.8,1558.1680000000001,64.78,462.834,100.0,99.92999999999999,0.43
