Timestamp,CPU_User,CPU_System,CPU_IOWait,Mem_Free_MB,Mem_Cache_MB,Context_Switches,IO_Read_S,IO_Write_S
21:54:21,6,3,3,669,3676,14289,0.00,228.00
21:54:28,27,7,2,663,3676,15720,0.00,160.00
21:54:35,57,14,1,645,3677,18877,0.00,152.00
21:54:42,62,18,1,628,3678,18031,0.00,544.00
21:54:49,59,19,0,624,3680,19238,0.00,308.00
21:54:56,70,20,4,574,3694,26985,128.00,1756.00
21:55:03,61,13,1,468,3726,20257,0.00,396.00
21:55:10,64,14,1,469,3728,19245,0.00,376.00
21:55:17,60,15,0,443,3732,19851,0.00,4116.00
21:55:24,62,27,2,471,3739,25418,752.00,8860.00
21:55:31,79,20,1,350,3773,23773,3232.00,204.00
21:55:38,73,17,1,297,3793,19141,0.00,836.00
21:55:45,7,5,1,270,3796,17204,0.00,248.00
21:55:52,77,22,1,236,3801,20097,0.00,256.00
21:55:59,80,19,0,227,3809,18714,724.00,568.00
21:56:07,81,18,0,197,3813,20812,0.00,668.00
21:56:14,66,14,1,200,3815,18018,0.00,556.00
21:56:21,78,18,0,182,3818,21679,0.00,116.00
21:56:28,80,19,0,162,3820,20720,0.00,2484.00
21:56:35,84,16,0,158,3822,20501,0.00,216.00
21:56:42,78,20,0,163,3825,20159,0.00,296.00
21:56:50,77,19,0,150,3828,20011,0.00,552.00
21:56:57,76,17,0,136,3830,20101,0.00,120.00
21:57:04,78,19,0,143,3832,23977,0.00,188.00
21:57:11,80,18,0,146,3834,21155,0.00,988.00
21:57:18,80,18,0,138,3835,18454,0.00,554.46
21:57:25,80,18,0,137,3838,18408,128.00,312.00
21:57:32,83,17,0,141,3841,21542,0.00,232.00
21:57:39,78,22,0,135,3843,21464,0.00,500.00
21:57:47,83,16,0,137,3844,20380,0.00,268.00
21:57:54,83,16,0,118,3847,19958,0.00,452.00
21:58:01,79,19,0,193,3787,24464,848.00,500.00
21:58:08,75,17,0,178,3792,23731,0.00,297.03
21:58:15,80,18,0,162,3794,22982,0.00,356.00
21:58:22,79,19,1,157,3796,21365,0.00,144.00
21:58:30,79,20,0,172,3798,19747,0.00,452.00
21:58:37,81,19,0,156,3801,20513,0.00,312.00
21:58:44,81,18,0,164,3803,22274,0.00,244.00
21:58:51,77,22,0,148,3806,24921,0.00,2380.00
21:58:58,82,17,0,159,3810,20526,0.00,324.00
21:59:06,82,17,0,138,3813,19720,0.00,648.00
21:59:13,78,18,0,152,3814,20266,0.00,272.00
21:59:20,76,23,0,151,3816,20143,0.00,463.37
21:59:27,83,16,0,146,3818,20438,0.00,160.00
21:59:34,82,17,0,126,3822,22307,0.00,212.00
21:59:42,78,21,0,120,3825,22657,0.00,1152.00
21:59:50,79,21,0,142,3826,20464,12.00,428.00
21:59:57,83,16,0,133,3829,20509,0.00,240.00
22:00:04,81,19,0,128,3832,25511,0.00,356.00
22:00:11,82,18,0,123,3835,25164,0.00,236.00
22:00:18,82,18,0,184,3802,20836,0.00,584.00
22:00:25,68,31,0,169,3805,23216,16.00,6236.00
22:00:32,80,20,1,140,3816,22302,3120.00,228.00
22:00:40,77,22,0,140,3795,21170,1940.00,212.00
22:00:47,80,19,1,123,3782,22752,4.00,1692.00
22:00:54,80,19,0,118,3773,22902,4.00,640.00
22:01:01,85,14,1,137,3764,21796,1604.00,208.00
22:01:08,80,19,0,123,3758,20584,0.00,612.00
22:01:16,78,19,0,126,3748,24175,24.00,296.00
22:01:23,79,18,0,137,3728,19302,0.00,196.00
22:01:30,75,25,0,145,3716,22548,24.00,464.00
22:01:37,82,18,0,124,3719,20072,0.00,728.00
22:01:45,79,20,0,145,3708,23047,0.00,276.00
22:01:52,80,19,1,121,3713,25648,0.00,124.00
22:01:59,84,16,0,126,3701,19368,0.00,308.00
22:02:06,83,17,0,141,3691,22262,0.00,292.00
22:02:13,81,18,0,138,3693,22048,0.00,340.00
22:02:20,77,22,0,161,3684,19653,23.76,954.46
22:02:27,82,17,0,140,3687,20461,0.00,288.00
22:02:34,82,17,0,123,3690,22005,0.00,617.82
22:02:42,80,18,0,150,3681,19251,0.00,276.00
22:02:49,84,16,0,139,3684,21019,0.00,4972.00
22:02:56,82,17,0,125,3689,22900,24.00,488.00
22:03:03,81,18,0,115,3692,25456,32.00,1100.00
22:03:10,76,24,0,158,3682,22846,80.00,484.00
22:03:17,81,18,0,141,3686,20836,0.00,244.00
22:03:25,81,18,0,121,3691,21530,16.00,160.00
22:03:32,81,17,1,144,3680,18232,0.00,96.00
22:03:39,79,21,0,129,3683,20854,0.00,544.00
22:03:46,82,17,1,119,3686,19359,0.00,768.00
22:03:53,81,18,0,132,3679,22577,0.00,224.00
22:04:00,77,22,0,129,3673,24744,0.00,808.00
22:04:07,83,17,0,134,3675,19161,0.00,328.00
22:04:14,82,18,0,143,3678,22572,0.00,276.00
22:04:22,78,21,0,121,3682,20937,0.00,1224.00
22:04:29,5,4,1,140,3684,12574,0.00,1828.00
22:04:36,5,3,2,134,3685,13876,0.00,208.00
22:04:43,7,4,2,155,3686,14256,0.00,256.00
22:04:50,13,4,3,301,3686,13968,0.00,220.00
22:04:57,9,5,2,316,3687,15503,0.00,184.00
22:05:04,6,4,1,321,3687,15233,0.00,380.20
