users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),apdex
1,8047.0,100.0,0.0,74.49,88.0,93.0,68.31,0.2,13.41,1.0
2,12391.0,99.99,0.01,95.58,130.0,158.0,82.25,0.23,20.65,1.0
3,18790.0,100.0,0.0,94.15,155.0,189.0,85.51,0.25,31.32,1.0
4,21889.0,99.99,0.01,107.54,161.0,202.0,91.94,0.27,36.48,0.999
5,28823.0,99.99,0.01,101.96,124.0,161.0,85.33,0.42,48.04,0.999
Average,17988.0,99.994,0.006,94.744,131.6,160.6,82.66799999999999,0.274,29.979999999999997,0.9996
