Users,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Samples
10,222.45,979.0,233.59,504.0,705.0
20,260.11,868.0,244.45,543.0,567.0
30,203.78,869.0,248.72,554.0,795.0
40,286.3,985.0,271.39,556.0,625.0
50,267.29,973.0,280.78,533.0,673.0
60,302.44,999.0,308.01,536.0,586.0
70,287.94,966.0,313.39,538.0,627.0
80,268.67,999.0,321.24,665.0,658.0
90,299.18,990.0,348.23,613.0,610.0
100,268.75,819.0,337.51,719.0,210.0
Average,266.69100000000003,944.7,290.73100000000005,576.1,605.6
