Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,85.61,101.0,0.52,4.22,4226.21,4263.0,1608.88,13672.0,24713.98,13.9,168.0
200,94.39,101.0,0.26,8.21,4201.04,4227.0,1141.86,13813.86,25514.17,10.7,125.0
300,93.58,101.0,0.36,9.75,4203.41,4230.0,1660.87,13948.0,26162.14,10.8,125.0
400,88.7,101.0,0.83,10.31,4220.9,4250.0,1411.79,16552.0,26060.94,10.8,125.0
500,85.43,101.0,0.31,10.16,4206.31,4245.0,1799.67,15944.0,26185.52,10.9,125.0
Average,89.542,101.0,0.45600000000000007,8.530000000000001,4211.574,4243.0,1524.614,14785.972,25727.35,11.42,133.6
