users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
100,268723.0,0.0,100.0,222.99,364.0,440.0,221.62,1.76,323.72,100.0,99.99,0.984
200,250649.0,0.0,100.0,451.1,786.0,963.0,448.35,5.34,401.07,100.0,99.99,0.825
300,258648.0,0.0,100.0,656.25,1123.0,1345.0,652.08,10.88,413.86,100.0,99.98,0.686
400,276137.0,0.0,100.0,819.13,1427.0,1698.0,810.97,21.09,441.93,100.0,99.95,0.627
500,296413.0,0.0,100.0,954.1,1741.0,2103.0,948.95,26.33,474.28,100.0,99.97,0.602
Average,270114.0,0.0,100.0,620.714,1088.2,1309.8,616.394,13.080000000000002,410.97200000000004,100.0,99.976,0.7447999999999999
