Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
17:57:02,ghost-deployment-74496d68fd-hvmrp,3m,183Mi,1m,51Mi
17:57:02,ghost-mysql-c75f59f48-n4rmd,4m,502Mi,1m,51Mi
17:57:08,ghost-deployment-74496d68fd-hvmrp,3m,183Mi,1m,51Mi
17:57:08,ghost-mysql-c75f59f48-n4rmd,4m,502Mi,1m,51Mi
17:57:13,ghost-deployment-74496d68fd-hvmrp,3m,183Mi,1m,51Mi
17:57:13,ghost-mysql-c75f59f48-n4rmd,4m,502Mi,1m,51Mi
17:57:18,ghost-deployment-74496d68fd-hvmrp,2m,183Mi,6m,51Mi
17:57:18,ghost-mysql-c75f59f48-n4rmd,4m,502Mi,6m,51Mi
17:57:23,ghost-deployment-74496d68fd-hvmrp,2m,183Mi,6m,51Mi
17:57:23,ghost-mysql-c75f59f48-n4rmd,4m,502Mi,6m,51Mi
17:57:28,ghost-deployment-74496d68fd-hvmrp,2m,183Mi,6m,51Mi
17:57:28,ghost-mysql-c75f59f48-n4rmd,4m,502Mi,6m,51Mi
17:57:33,ghost-deployment-74496d68fd-hvmrp,850m,227Mi,44m,53Mi
17:57:33,ghost-mysql-c75f59f48-n4rmd,163m,503Mi,44m,53Mi
17:57:38,ghost-deployment-74496d68fd-hvmrp,850m,227Mi,44m,53Mi
17:57:38,ghost-mysql-c75f59f48-n4rmd,163m,503Mi,44m,53Mi
17:57:43,ghost-deployment-74496d68fd-hvmrp,850m,227Mi,44m,53Mi
17:57:43,ghost-mysql-c75f59f48-n4rmd,163m,503Mi,44m,53Mi
17:57:49,ghost-deployment-74496d68fd-hvmrp,898m,230Mi,44m,53Mi
17:57:49,ghost-mysql-c75f59f48-n4rmd,217m,503Mi,44m,53Mi
17:57:54,ghost-deployment-74496d68fd-hvmrp,898m,230Mi,44m,53Mi
17:57:54,ghost-mysql-c75f59f48-n4rmd,217m,503Mi,44m,53Mi
17:57:59,ghost-deployment-74496d68fd-hvmrp,898m,230Mi,44m,53Mi
17:57:59,ghost-mysql-c75f59f48-n4rmd,217m,503Mi,44m,53Mi
17:58:04,ghost-deployment-74496d68fd-6g6lf,77m,95Mi,40m,56Mi
17:58:04,ghost-deployment-74496d68fd-hvmrp,840m,233Mi,40m,56Mi
17:58:04,ghost-mysql-c75f59f48-n4rmd,217m,503Mi,40m,56Mi
17:58:09,ghost-deployment-74496d68fd-6g6lf,77m,95Mi,40m,56Mi
17:58:09,ghost-deployment-74496d68fd-hvmrp,840m,233Mi,40m,56Mi
17:58:09,ghost-mysql-c75f59f48-n4rmd,217m,503Mi,40m,56Mi
17:58:14,ghost-deployment-74496d68fd-6g6lf,77m,95Mi,40m,56Mi
17:58:14,ghost-deployment-74496d68fd-hvmrp,840m,233Mi,40m,56Mi
17:58:14,ghost-mysql-c75f59f48-n4rmd,217m,503Mi,40m,56Mi
17:58:19,ghost-deployment-74496d68fd-6g6lf,21m,82Mi,43m,57Mi
17:58:19,ghost-deployment-74496d68fd-dntb2,320m,94Mi,43m,57Mi
17:58:19,ghost-deployment-74496d68fd-hvmrp,833m,237Mi,43m,57Mi
17:58:19,ghost-mysql-c75f59f48-n4rmd,196m,504Mi,43m,57Mi
17:58:25,ghost-deployment-74496d68fd-6g6lf,21m,82Mi,43m,57Mi
17:58:25,ghost-deployment-74496d68fd-dntb2,320m,94Mi,43m,57Mi
17:58:25,ghost-deployment-74496d68fd-hvmrp,833m,237Mi,43m,57Mi
17:58:25,ghost-mysql-c75f59f48-n4rmd,196m,504Mi,43m,57Mi
17:58:30,ghost-deployment-74496d68fd-6g6lf,21m,82Mi,43m,57Mi
17:58:30,ghost-deployment-74496d68fd-dntb2,320m,94Mi,43m,57Mi
