Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
18:44:05,ghost-deployment-74496d68fd-s6xpz,725m,190Mi,50m,68Mi
18:44:05,ghost-mysql-c75f59f48-n4rmd,199m,497Mi,50m,68Mi
18:44:10,ghost-deployment-74496d68fd-fmbqt,409m,147Mi,50m,68Mi
18:44:10,ghost-deployment-74496d68fd-jcjqn,87m,105Mi,50m,68Mi
18:44:10,ghost-deployment-74496d68fd-s6xpz,725m,190Mi,50m,68Mi
18:44:10,ghost-mysql-c75f59f48-n4rmd,199m,497Mi,50m,68Mi
18:44:15,ghost-deployment-74496d68fd-fmbqt,409m,147Mi,50m,68Mi
18:44:15,ghost-deployment-74496d68fd-jcjqn,87m,105Mi,50m,68Mi
18:44:15,ghost-deployment-74496d68fd-s6xpz,725m,190Mi,50m,68Mi
18:44:15,ghost-mysql-c75f59f48-n4rmd,199m,497Mi,50m,68Mi
18:44:21,ghost-deployment-74496d68fd-fmbqt,757m,174Mi,49m,70Mi
18:44:21,ghost-deployment-74496d68fd-jcjqn,343m,143Mi,49m,70Mi
18:44:21,ghost-deployment-74496d68fd-s6xpz,288m,137Mi,49m,70Mi
18:44:21,ghost-mysql-c75f59f48-n4rmd,182m,498Mi,49m,70Mi
18:44:26,ghost-deployment-74496d68fd-fmbqt,757m,174Mi,49m,70Mi
18:44:26,ghost-deployment-74496d68fd-jcjqn,343m,143Mi,49m,70Mi
18:44:26,ghost-deployment-74496d68fd-s6xpz,288m,137Mi,49m,70Mi
18:44:26,ghost-mysql-c75f59f48-n4rmd,182m,498Mi,49m,70Mi
18:44:31,ghost-deployment-74496d68fd-fmbqt,376m,173Mi,54m,71Mi
18:44:31,ghost-deployment-74496d68fd-jcjqn,510m,176Mi,54m,71Mi
18:44:31,ghost-deployment-74496d68fd-s6xpz,497m,156Mi,54m,71Mi
18:44:31,ghost-mysql-c75f59f48-n4rmd,212m,498Mi,54m,71Mi
18:44:36,ghost-deployment-74496d68fd-fmbqt,376m,173Mi,54m,71Mi
18:44:36,ghost-deployment-74496d68fd-jcjqn,510m,176Mi,54m,71Mi
18:44:36,ghost-deployment-74496d68fd-s6xpz,497m,156Mi,54m,71Mi
18:44:36,ghost-mysql-c75f59f48-n4rmd,212m,498Mi,54m,71Mi
18:44:41,ghost-deployment-74496d68fd-fmbqt,376m,173Mi,54m,71Mi
18:44:41,ghost-deployment-74496d68fd-jcjqn,510m,176Mi,54m,71Mi
18:44:41,ghost-deployment-74496d68fd-s6xpz,497m,156Mi,54m,71Mi
18:44:41,ghost-mysql-c75f59f48-n4rmd,212m,498Mi,54m,71Mi
18:44:46,ghost-deployment-74496d68fd-fmbqt,447m,159Mi,46m,72Mi
18:44:46,ghost-deployment-74496d68fd-jcjqn,342m,189Mi,46m,72Mi
18:44:46,ghost-deployment-74496d68fd-s6xpz,497m,154Mi,46m,72Mi
18:44:46,ghost-mysql-c75f59f48-n4rmd,229m,498Mi,46m,72Mi
18:44:51,ghost-deployment-74496d68fd-fmbqt,447m,159Mi,46m,72Mi
18:44:51,ghost-deployment-74496d68fd-jcjqn,342m,189Mi,46m,72Mi
18:44:51,ghost-deployment-74496d68fd-s6xpz,497m,154Mi,46m,72Mi
18:44:51,ghost-mysql-c75f59f48-n4rmd,229m,498Mi,46m,72Mi
18:44:57,ghost-deployment-74496d68fd-fmbqt,447m,159Mi,46m,72Mi
18:44:57,ghost-deployment-74496d68fd-jcjqn,342m,189Mi,46m,72Mi
18:44:57,ghost-deployment-74496d68fd-s6xpz,497m,154Mi,46m,72Mi
18:44:57,ghost-mysql-c75f59f48-n4rmd,229m,498Mi,46m,72Mi
18:45:02,ghost-deployment-74496d68fd-fmbqt,564m,184Mi,49m,71Mi
18:45:02,ghost-deployment-74496d68fd-jcjqn,203m,167Mi,49m,71Mi
