Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,91.67,101.0,0.77,17.98,4021.1,4505.0,1499.47,29420.0,21070.89,10.4,88.0
200,88.7,101.0,0.46,18.33,3948.04,4380.0,744.94,5564.0,20845.33,10.6,90.0
300,90.59,101.0,0.48,17.98,3915.02,4348.0,888.53,6712.0,21295.62,10.3,87.0
400,76.65,101.0,0.91,14.69,3885.34,4301.0,885.11,8456.0,20153.59,12.8,108.0
500,94.35,101.0,0.36,19.18,3844.56,4298.0,1283.98,13696.0,22002.65,9.9,84.0
Average,88.39200000000001,101.0,0.596,17.631999999999998,3922.8120000000004,4366.4,1060.406,12769.6,21073.615999999998,10.8,91.4
