users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache bypass (%),apdex
100,45492.0,100.0,0.0,1189.22,3103.0,3379.0,1172.4,4.7,75.83,100.0,0.581
200,50834.0,86.52,13.48,2129.99,5930.1,6986.0,2099.24,8.05,84.73,100.0,0.471
300,53868.0,81.92,18.08,3016.49,7543.3,9080.65,2991.28,17.68,89.78,100.0,0.411
400,56315.0,76.65,23.35,3878.19,10428.0,12715.9,3801.99,16.04,93.86,100.0,0.403
500,56058.0,77.16,22.84,4987.36,11214.6,13255.15,4382.33,203.29,93.43,100.0,0.354
Average,52513.4,84.45,15.55,3040.25,7643.8,9083.34,2889.448,49.952,87.526,100.0,0.44400000000000006
