Users,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Samples
1,104.63,243.0,300.48,397.0,276.0
2,159.79,356.0,305.07,398.0,264.0
3,176.18,476.0,285.7,444.0,380.0
4,176.89,469.0,279.53,451.0,396.0
5,216.43,595.0,273.85,454.0,375.0
Average,166.78400000000002,427.8,288.92600000000004,428.8,338.2
