users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),apdex
1,7478.0,100.0,0.0,80.1,91.0,98.0,73.2,0.29,12.47,1.0
2,13040.0,100.0,0.0,90.8,115.0,130.0,84.15,0.24,21.74,1.0
3,19079.0,100.0,0.0,92.71,119.0,130.0,86.75,0.2,31.8,1.0
4,21354.0,100.0,0.0,110.61,146.0,169.0,98.4,0.27,35.59,0.999
5,25324.0,99.99,0.01,117.02,157.0,193.0,102.98,0.3,42.21,0.999
Average,17255.0,99.998,0.002,98.24799999999999,125.6,144.0,89.096,0.26,28.762,0.9996
