users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
100,309452.0,0.0,100.0,182.86,279.0,332.0,181.06,1.19,495.21,100.0,99.99,0.996
200,314463.0,0.0,100.0,359.56,600.0,718.0,357.05,3.6,503.18,100.0,99.99,0.911
300,326072.0,0.0,100.0,520.24,880.0,1033.0,516.28,6.77,521.74,100.0,99.98,0.747
400,330898.0,0.0,100.0,683.58,1147.0,1360.0,678.92,12.92,529.48,100.0,99.97,0.661
500,330357.0,0.0,100.0,856.67,1486.0,1758.0,851.27,18.58,528.61,100.0,99.98,0.609
Average,322248.4,0.0,100.0,520.5820000000001,878.4,1040.2,516.9159999999999,8.611999999999998,515.644,100.0,99.982,0.7847999999999999
