Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,91.65,101.0,0.32,6.43,4301.13,4322.0,898.55,11596.0,27583.45,10.4,125.0
200,90.48,101.0,0.25,6.53,4293.18,4318.0,749.5,12512.0,26810.47,10.5,125.0
300,92.46,101.0,0.24,7.82,4284.18,4307.0,620.36,12623.16,27921.06,10.6,125.0
400,90.85,101.0,0.27,7.8,4279.46,4313.0,671.55,15464.0,27851.05,10.7,125.0
500,91.63,101.0,0.21,8.71,4299.9,4332.0,809.14,11808.0,27607.3,10.8,125.0
Average,91.41399999999999,101.0,0.258,7.458000000000001,4291.57,4318.4,749.8199999999999,12800.632000000001,27554.665999999997,10.6,125.0
