Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
100,1.0,4.02,8.0,242.88,381.0,1330.67,1533.0,81.58,82.0,100.0,250.0
200,1.0,3.86,9.0,243.1,380.0,1383.01,1551.0,83.84,85.0,100.0,250.0
300,1.0,4.14,8.0,242.27,380.0,1439.19,1566.0,86.06,88.0,99.2,250.0
400,1.0,3.98,11.0,243.1,380.0,1429.97,1578.0,88.66,92.0,99.2,250.0
500,1.0,3.78,9.0,243.88,380.0,1442.46,1579.0,90.72,94.0,99.2,250.0
Average,1.0,3.9560000000000004,9.0,243.046,380.2,1405.0600000000002,1561.4,86.172,88.2,99.52,250.0
