Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
20:42:45,wordpress-deployment-7c7bb76d6f-wsmvd,598m,631Mi,31m,58Mi
20:42:45,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,58Mi
20:42:50,wordpress-deployment-7c7bb76d6f-ds6hf,525m,706Mi,31m,60Mi
20:42:50,wordpress-deployment-7c7bb76d6f-mvbl7,505m,354Mi,31m,60Mi
20:42:50,wordpress-deployment-7c7bb76d6f-wsmvd,486m,654Mi,31m,60Mi
20:42:50,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,60Mi
20:42:56,wordpress-deployment-7c7bb76d6f-ds6hf,525m,706Mi,31m,60Mi
20:42:56,wordpress-deployment-7c7bb76d6f-mvbl7,505m,354Mi,31m,60Mi
20:42:56,wordpress-deployment-7c7bb76d6f-wsmvd,486m,654Mi,31m,60Mi
20:42:56,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,60Mi
20:43:01,wordpress-deployment-7c7bb76d6f-ds6hf,525m,706Mi,31m,60Mi
20:43:01,wordpress-deployment-7c7bb76d6f-mvbl7,505m,354Mi,31m,60Mi
20:43:01,wordpress-deployment-7c7bb76d6f-wsmvd,486m,654Mi,31m,60Mi
20:43:01,wordpress-mysql-8484774888-bwt4v,129m,529Mi,31m,60Mi
20:43:06,wordpress-deployment-7c7bb76d6f-ds6hf,439m,586Mi,32m,61Mi
20:43:06,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:06,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:06,wordpress-deployment-7c7bb76d6f-wsmvd,464m,675Mi,32m,61Mi
20:43:06,wordpress-mysql-8484774888-bwt4v,142m,538Mi,32m,61Mi
20:43:11,wordpress-deployment-7c7bb76d6f-ds6hf,439m,586Mi,32m,61Mi
20:43:11,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:11,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:11,wordpress-deployment-7c7bb76d6f-wsmvd,464m,675Mi,32m,61Mi
20:43:11,wordpress-mysql-8484774888-bwt4v,142m,538Mi,32m,61Mi
20:43:16,wordpress-deployment-7c7bb76d6f-ds6hf,439m,586Mi,32m,61Mi
20:43:16,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:16,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:16,wordpress-deployment-7c7bb76d6f-wsmvd,464m,675Mi,32m,61Mi
20:43:16,wordpress-mysql-8484774888-bwt4v,142m,538Mi,32m,61Mi
20:43:21,wordpress-deployment-7c7bb76d6f-ds6hf,456m,522Mi,32m,61Mi
20:43:21,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:21,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:21,wordpress-deployment-7c7bb76d6f-wsmvd,491m,768Mi,32m,61Mi
20:43:21,wordpress-mysql-8484774888-bwt4v,147m,541Mi,32m,61Mi
20:43:27,wordpress-deployment-7c7bb76d6f-ds6hf,456m,522Mi,32m,61Mi
20:43:27,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:27,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:27,wordpress-deployment-7c7bb76d6f-wsmvd,491m,768Mi,32m,61Mi
20:43:27,wordpress-mysql-8484774888-bwt4v,147m,541Mi,32m,61Mi
20:43:32,wordpress-deployment-7c7bb76d6f-ds6hf,456m,522Mi,32m,61Mi
20:43:32,wordpress-deployment-7c7bb76d6f-mvbl7,443m,453Mi,32m,61Mi
20:43:32,wordpress-deployment-7c7bb76d6f-pzg57,9m,16Mi,32m,61Mi
20:43:32,wordpress-deployment-7c7bb76d6f-wsmvd,491m,768Mi,32m,61Mi
20:43:32,wordpress-mysql-8484774888-bwt4v,147m,541Mi,32m,61Mi
20:43:37,wordpress-deployment-7c7bb76d6f-ds6hf,307m,574Mi,29m,61Mi
20:43:37,wordpress-deployment-7c7bb76d6f-mvbl7,451m,463Mi,29m,61Mi
20:43:37,wordpress-deployment-7c7bb76d6f-pzg57,143m,360Mi,29m,61Mi
20:43:37,wordpress-deployment-7c7bb76d6f-wsmvd,521m,679Mi,29m,61Mi
20:43:37,wordpress-mysql-8484774888-bwt4v,125m,542Mi,29m,61Mi
20:43:42,wordpress-deployment-7c7bb76d6f-ds6hf,307m,574Mi,29m,61Mi
20:43:42,wordpress-deployment-7c7bb76d6f-mvbl7,451m,463Mi,29m,61Mi
20:43:42,wordpress-deployment-7c7bb76d6f-pzg57,143m,360Mi,29m,61Mi
20:43:42,wordpress-deployment-7c7bb76d6f-wsmvd,521m,679Mi,29m,61Mi
20:43:42,wordpress-mysql-8484774888-bwt4v,125m,542Mi,29m,61Mi
20:43:47,wordpress-deployment-7c7bb76d6f-ds6hf,307m,574Mi,29m,61Mi
20:43:47,wordpress-deployment-7c7bb76d6f-mvbl7,451m,463Mi,29m,61Mi
20:43:47,wordpress-deployment-7c7bb76d6f-pzg57,143m,360Mi,29m,61Mi
20:43:47,wordpress-deployment-7c7bb76d6f-wsmvd,521m,679Mi,29m,61Mi
20:43:47,wordpress-mysql-8484774888-bwt4v,125m,542Mi,29m,61Mi
20:43:52,wordpress-deployment-7c7bb76d6f-ds6hf,438m,681Mi,28m,61Mi
20:43:52,wordpress-deployment-7c7bb76d6f-mvbl7,295m,347Mi,28m,61Mi
20:43:52,wordpress-deployment-7c7bb76d6f-pzg57,143m,360Mi,28m,61Mi
20:43:52,wordpress-deployment-7c7bb76d6f-wsmvd,274m,598Mi,28m,61Mi
20:43:52,wordpress-mysql-8484774888-bwt4v,119m,543Mi,28m,61Mi
20:43:58,wordpress-deployment-7c7bb76d6f-ds6hf,438m,681Mi,28m,61Mi
20:43:58,wordpress-deployment-7c7bb76d6f-mvbl7,295m,347Mi,28m,61Mi
20:43:58,wordpress-deployment-7c7bb76d6f-pzg57,143m,360Mi,28m,61Mi
20:43:58,wordpress-deployment-7c7bb76d6f-wsmvd,274m,598Mi,28m,61Mi
20:43:58,wordpress-mysql-8484774888-bwt4v,119m,543Mi,28m,61Mi
20:44:03,wordpress-deployment-7c7bb76d6f-ds6hf,438m,681Mi,28m,61Mi
20:44:03,wordpress-deployment-7c7bb76d6f-mvbl7,295m,347Mi,28m,61Mi
20:44:03,wordpress-deployment-7c7bb76d6f-pzg57,143m,360Mi,28m,61Mi
20:44:03,wordpress-deployment-7c7bb76d6f-wsmvd,274m,598Mi,28m,61Mi
20:44:03,wordpress-mysql-8484774888-bwt4v,119m,543Mi,28m,61Mi
20:44:08,wordpress-deployment-7c7bb76d6f-ds6hf,376m,631Mi,23m,61Mi
20:44:08,wordpress-deployment-7c7bb76d6f-mvbl7,263m,247Mi,23m,61Mi
20:44:08,wordpress-deployment-7c7bb76d6f-wsmvd,274m,598Mi,23m,61Mi
20:44:08,wordpress-mysql-8484774888-bwt4v,136m,541Mi,23m,61Mi
20:44:13,wordpress-deployment-7c7bb76d6f-ds6hf,376m,631Mi,23m,61Mi
20:44:13,wordpress-deployment-7c7bb76d6f-mvbl7,263m,247Mi,23m,61Mi
20:44:13,wordpress-deployment-7c7bb76d6f-wsmvd,274m,598Mi,23m,61Mi
20:44:13,wordpress-mysql-8484774888-bwt4v,136m,541Mi,23m,61Mi
20:44:18,wordpress-deployment-7c7bb76d6f-ds6hf,376m,631Mi,23m,61Mi
20:44:18,wordpress-deployment-7c7bb76d6f-mvbl7,263m,247Mi,23m,61Mi
20:44:18,wordpress-deployment-7c7bb76d6f-wsmvd,274m,598Mi,23m,61Mi
20:44:18,wordpress-mysql-8484774888-bwt4v,136m,541Mi,23m,61Mi
20:44:24,wordpress-deployment-7c7bb76d6f-ds6hf,420m,642Mi,26m,61Mi
20:44:24,wordpress-deployment-7c7bb76d6f-mvbl7,323m,347Mi,26m,61Mi
20:44:24,wordpress-deployment-7c7bb76d6f-pzg57,1m,16Mi,26m,61Mi
20:44:24,wordpress-deployment-7c7bb76d6f-wsmvd,368m,617Mi,26m,61Mi
20:44:24,wordpress-mysql-8484774888-bwt4v,141m,546Mi,26m,61Mi
20:44:29,wordpress-deployment-7c7bb76d6f-ds6hf,420m,642Mi,26m,61Mi
20:44:29,wordpress-deployment-7c7bb76d6f-mvbl7,323m,347Mi,26m,61Mi
20:44:29,wordpress-deployment-7c7bb76d6f-pzg57,1m,16Mi,26m,61Mi
20:44:29,wordpress-deployment-7c7bb76d6f-wsmvd,368m,617Mi,26m,61Mi
20:44:29,wordpress-mysql-8484774888-bwt4v,141m,546Mi,26m,61Mi
20:44:34,wordpress-deployment-7c7bb76d6f-ds6hf,420m,642Mi,26m,61Mi
20:44:34,wordpress-deployment-7c7bb76d6f-mvbl7,323m,347Mi,26m,61Mi
20:44:34,wordpress-deployment-7c7bb76d6f-pzg57,1m,16Mi,26m,61Mi
20:44:34,wordpress-deployment-7c7bb76d6f-wsmvd,368m,617Mi,26m,61Mi
20:44:34,wordpress-mysql-8484774888-bwt4v,141m,546Mi,26m,61Mi
20:44:39,wordpress-deployment-7c7bb76d6f-ds6hf,382m,609Mi,28m,60Mi
20:44:39,wordpress-deployment-7c7bb76d6f-mvbl7,463m,603Mi,28m,60Mi
20:44:39,wordpress-deployment-7c7bb76d6f-pzg57,104m,169Mi,28m,60Mi
20:44:39,wordpress-deployment-7c7bb76d6f-wsmvd,451m,627Mi,28m,60Mi
20:44:39,wordpress-mysql-8484774888-bwt4v,137m,547Mi,28m,60Mi
20:44:44,wordpress-deployment-7c7bb76d6f-ds6hf,382m,609Mi,28m,60Mi
20:44:44,wordpress-deployment-7c7bb76d6f-mvbl7,463m,603Mi,28m,60Mi
20:44:44,wordpress-deployment-7c7bb76d6f-pzg57,104m,169Mi,28m,60Mi
20:44:44,wordpress-deployment-7c7bb76d6f-wsmvd,451m,627Mi,28m,60Mi
20:44:44,wordpress-mysql-8484774888-bwt4v,137m,547Mi,28m,60Mi
20:44:49,wordpress-deployment-7c7bb76d6f-ds6hf,350m,682Mi,28m,60Mi
20:44:49,wordpress-deployment-7c7bb76d6f-mvbl7,487m,522Mi,28m,60Mi
20:44:49,wordpress-deployment-7c7bb76d6f-pzg57,104m,169Mi,28m,60Mi
20:44:49,wordpress-deployment-7c7bb76d6f-wsmvd,456m,499Mi,28m,60Mi
20:44:49,wordpress-mysql-8484774888-bwt4v,129m,547Mi,28m,60Mi
20:44:55,wordpress-deployment-7c7bb76d6f-ds6hf,350m,682Mi,28m,60Mi
20:44:55,wordpress-deployment-7c7bb76d6f-mvbl7,487m,522Mi,28m,60Mi
20:44:55,wordpress-deployment-7c7bb76d6f-pzg57,104m,169Mi,28m,60Mi
20:44:55,wordpress-deployment-7c7bb76d6f-wsmvd,456m,499Mi,28m,60Mi
20:44:55,wordpress-mysql-8484774888-bwt4v,129m,547Mi,28m,60Mi
20:45:00,wordpress-deployment-7c7bb76d6f-ds6hf,350m,682Mi,28m,60Mi
20:45:00,wordpress-deployment-7c7bb76d6f-mvbl7,487m,522Mi,28m,60Mi
20:45:00,wordpress-deployment-7c7bb76d6f-pzg57,104m,169Mi,28m,60Mi
20:45:00,wordpress-deployment-7c7bb76d6f-wsmvd,456m,499Mi,28m,60Mi
20:45:00,wordpress-mysql-8484774888-bwt4v,129m,547Mi,28m,60Mi
20:45:05,wordpress-deployment-7c7bb76d6f-ds6hf,469m,696Mi,26m,60Mi
20:45:05,wordpress-deployment-7c7bb76d6f-mvbl7,314m,432Mi,26m,60Mi
20:45:05,wordpress-deployment-7c7bb76d6f-pzg57,338m,588Mi,26m,60Mi
20:45:05,wordpress-deployment-7c7bb76d6f-wsmvd,260m,394Mi,26m,60Mi
20:45:05,wordpress-mysql-8484774888-bwt4v,116m,548Mi,26m,60Mi
20:45:10,wordpress-deployment-7c7bb76d6f-ds6hf,469m,696Mi,26m,60Mi
20:45:10,wordpress-deployment-7c7bb76d6f-mvbl7,314m,432Mi,26m,60Mi
20:45:10,wordpress-deployment-7c7bb76d6f-pzg57,338m,588Mi,26m,60Mi
20:45:10,wordpress-deployment-7c7bb76d6f-wsmvd,260m,394Mi,26m,60Mi
20:45:10,wordpress-mysql-8484774888-bwt4v,116m,548Mi,26m,60Mi
20:45:15,wordpress-deployment-7c7bb76d6f-ds6hf,469m,696Mi,26m,60Mi
20:45:15,wordpress-deployment-7c7bb76d6f-mvbl7,314m,432Mi,26m,60Mi
20:45:15,wordpress-deployment-7c7bb76d6f-pzg57,338m,588Mi,26m,60Mi
20:45:15,wordpress-deployment-7c7bb76d6f-wsmvd,260m,394Mi,26m,60Mi
20:45:15,wordpress-mysql-8484774888-bwt4v,116m,548Mi,26m,60Mi
20:45:20,wordpress-deployment-7c7bb76d6f-ds6hf,371m,635Mi,21m,62Mi
20:45:20,wordpress-deployment-7c7bb76d6f-mvbl7,218m,335Mi,21m,62Mi
20:45:20,wordpress-deployment-7c7bb76d6f-wsmvd,203m,317Mi,21m,62Mi
20:45:20,wordpress-mysql-8484774888-bwt4v,139m,544Mi,21m,62Mi
