Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi,ModSecurity_Status
00:46:32,drupal-deployment-677cb58b94-npgbj,35m,264Mi,1526m,96Mi,NONE
00:46:32,drupal-mysql-d86854f86-229bw,10m,479Mi,1526m,96Mi,NONE
00:46:37,drupal-deployment-677cb58b94-npgbj,46m,262Mi,1425m,97Mi,NONE
00:46:37,drupal-mysql-d86854f86-229bw,9m,479Mi,1425m,97Mi,NONE
00:46:43,drupal-deployment-677cb58b94-npgbj,46m,262Mi,1425m,97Mi,BLOCKED
00:46:43,drupal-mysql-d86854f86-229bw,9m,479Mi,1425m,97Mi,BLOCKED
00:46:48,drupal-deployment-677cb58b94-npgbj,46m,262Mi,1425m,97Mi,BLOCKED
00:46:48,drupal-mysql-d86854f86-229bw,9m,479Mi,1425m,97Mi,BLOCKED
00:46:54,drupal-deployment-677cb58b94-npgbj,26m,262Mi,1189m,95Mi,BLOCKED
00:46:54,drupal-mysql-d86854f86-229bw,26m,479Mi,1189m,95Mi,BLOCKED
00:46:59,drupal-deployment-677cb58b94-npgbj,26m,262Mi,1189m,95Mi,BLOCKED
00:46:59,drupal-mysql-d86854f86-229bw,26m,479Mi,1189m,95Mi,BLOCKED
00:47:04,drupal-deployment-677cb58b94-npgbj,26m,262Mi,1189m,95Mi,BLOCKED
00:47:04,drupal-mysql-d86854f86-229bw,26m,479Mi,1189m,95Mi,BLOCKED
00:47:09,drupal-deployment-677cb58b94-npgbj,24m,262Mi,1497m,95Mi,BLOCKED
00:47:09,drupal-mysql-d86854f86-229bw,13m,479Mi,1497m,95Mi,BLOCKED
00:47:15,drupal-deployment-677cb58b94-npgbj,24m,262Mi,1497m,95Mi,NONE
00:47:15,drupal-mysql-d86854f86-229bw,13m,479Mi,1497m,95Mi,NONE
00:47:20,drupal-deployment-677cb58b94-npgbj,24m,262Mi,1497m,95Mi,NONE
00:47:20,drupal-mysql-d86854f86-229bw,13m,479Mi,1497m,95Mi,NONE
00:47:25,drupal-deployment-677cb58b94-npgbj,43m,262Mi,1497m,95Mi,BLOCKED
00:47:25,drupal-mysql-d86854f86-229bw,10m,479Mi,1497m,95Mi,BLOCKED
00:47:30,drupal-deployment-677cb58b94-npgbj,43m,262Mi,1497m,95Mi,BLOCKED
00:47:30,drupal-mysql-d86854f86-229bw,10m,479Mi,1497m,95Mi,BLOCKED
00:47:36,drupal-deployment-677cb58b94-npgbj,43m,262Mi,1497m,95Mi,BLOCKED
00:47:36,drupal-mysql-d86854f86-229bw,10m,479Mi,1497m,95Mi,BLOCKED
00:47:41,drupal-deployment-677cb58b94-npgbj,43m,262Mi,1109m,96Mi,BLOCKED
00:47:41,drupal-mysql-d86854f86-229bw,20m,479Mi,1109m,96Mi,BLOCKED
00:47:46,drupal-deployment-677cb58b94-npgbj,43m,262Mi,1109m,96Mi,BLOCKED
00:47:46,drupal-mysql-d86854f86-229bw,20m,479Mi,1109m,96Mi,BLOCKED
00:47:52,drupal-deployment-677cb58b94-npgbj,43m,262Mi,1109m,96Mi,BLOCKED
00:47:52,drupal-mysql-d86854f86-229bw,20m,479Mi,1109m,96Mi,BLOCKED
00:47:57,drupal-deployment-677cb58b94-npgbj,33m,262Mi,1554m,95Mi,BLOCKED
00:47:57,drupal-mysql-d86854f86-229bw,16m,480Mi,1554m,95Mi,BLOCKED
00:48:02,drupal-deployment-677cb58b94-npgbj,33m,262Mi,1554m,95Mi,BLOCKED
00:48:02,drupal-mysql-d86854f86-229bw,16m,480Mi,1554m,95Mi,BLOCKED
00:48:07,drupal-deployment-677cb58b94-npgbj,38m,262Mi,1485m,98Mi,BLOCKED
00:48:07,drupal-mysql-d86854f86-229bw,19m,479Mi,1485m,98Mi,BLOCKED
00:48:13,drupal-deployment-677cb58b94-npgbj,38m,262Mi,1485m,98Mi,BLOCKED
00:48:13,drupal-mysql-d86854f86-229bw,19m,479Mi,1485m,98Mi,BLOCKED
00:48:18,drupal-deployment-677cb58b94-npgbj,38m,262Mi,1485m,98Mi,NONE
00:48:18,drupal-mysql-d86854f86-229bw,19m,479Mi,1485m,98Mi,NONE
00:48:23,drupal-deployment-677cb58b94-npgbj,25m,262Mi,1181m,95Mi,BLOCKED
00:48:23,drupal-mysql-d86854f86-229bw,19m,479Mi,1181m,95Mi,BLOCKED
00:48:28,drupal-deployment-677cb58b94-npgbj,25m,262Mi,1181m,95Mi,BLOCKED
00:48:28,drupal-mysql-d86854f86-229bw,19m,479Mi,1181m,95Mi,BLOCKED
00:48:34,drupal-deployment-677cb58b94-npgbj,25m,262Mi,1181m,95Mi,BLOCKED
00:48:34,drupal-mysql-d86854f86-229bw,19m,479Mi,1181m,95Mi,BLOCKED
00:48:39,drupal-deployment-677cb58b94-npgbj,50m,262Mi,1458m,96Mi,BLOCKED
00:48:39,drupal-mysql-d86854f86-229bw,8m,479Mi,1458m,96Mi,BLOCKED
00:48:44,drupal-deployment-677cb58b94-npgbj,50m,262Mi,1458m,96Mi,BLOCKED
00:48:44,drupal-mysql-d86854f86-229bw,8m,479Mi,1458m,96Mi,BLOCKED
00:48:49,drupal-deployment-677cb58b94-npgbj,50m,262Mi,1458m,96Mi,BLOCKED
00:48:49,drupal-mysql-d86854f86-229bw,8m,479Mi,1458m,96Mi,BLOCKED
00:48:55,drupal-deployment-677cb58b94-npgbj,39m,262Mi,1280m,95Mi,BLOCKED
00:48:55,drupal-mysql-d86854f86-229bw,11m,479Mi,1280m,95Mi,BLOCKED
00:49:00,drupal-deployment-677cb58b94-npgbj,39m,262Mi,1280m,95Mi,BLOCKED
00:49:00,drupal-mysql-d86854f86-229bw,11m,479Mi,1280m,95Mi,BLOCKED
00:49:05,drupal-deployment-677cb58b94-npgbj,39m,262Mi,1280m,95Mi,BLOCKED
00:49:05,drupal-mysql-d86854f86-229bw,11m,479Mi,1280m,95Mi,BLOCKED
00:49:10,drupal-deployment-677cb58b94-npgbj,24m,262Mi,1426m,96Mi,BLOCKED
00:49:10,drupal-mysql-d86854f86-229bw,21m,479Mi,1426m,96Mi,BLOCKED
00:49:15,drupal-deployment-677cb58b94-npgbj,24m,262Mi,1426m,96Mi,BLOCKED
00:49:15,drupal-mysql-d86854f86-229bw,21m,479Mi,1426m,96Mi,BLOCKED
00:49:21,drupal-deployment-677cb58b94-npgbj,24m,262Mi,1426m,96Mi,BLOCKED
00:49:21,drupal-mysql-d86854f86-229bw,21m,479Mi,1426m,96Mi,BLOCKED
00:49:26,drupal-deployment-677cb58b94-npgbj,26m,262Mi,1310m,98Mi,BLOCKED
00:49:26,drupal-mysql-d86854f86-229bw,21m,479Mi,1310m,98Mi,BLOCKED
00:49:32,drupal-deployment-677cb58b94-npgbj,26m,262Mi,1310m,98Mi,BLOCKED
00:49:32,drupal-mysql-d86854f86-229bw,21m,479Mi,1310m,98Mi,BLOCKED
00:49:37,drupal-deployment-677cb58b94-npgbj,25m,262Mi,1501m,97Mi,NONE
00:49:37,drupal-mysql-d86854f86-229bw,12m,479Mi,1501m,97Mi,NONE
00:49:43,drupal-deployment-677cb58b94-npgbj,25m,262Mi,1501m,97Mi,NONE
00:49:43,drupal-mysql-d86854f86-229bw,12m,479Mi,1501m,97Mi,NONE
00:49:48,drupal-deployment-677cb58b94-npgbj,25m,262Mi,1501m,97Mi,BLOCKED
00:49:48,drupal-mysql-d86854f86-229bw,12m,479Mi,1501m,97Mi,BLOCKED
00:49:53,drupal-deployment-677cb58b94-npgbj,76m,260Mi,1202m,106Mi,BLOCKED
00:49:53,drupal-mysql-d86854f86-229bw,22m,479Mi,1202m,106Mi,BLOCKED
00:49:58,drupal-deployment-677cb58b94-npgbj,76m,260Mi,1202m,106Mi,BLOCKED
00:49:58,drupal-mysql-d86854f86-229bw,22m,479Mi,1202m,106Mi,BLOCKED
00:50:04,drupal-deployment-677cb58b94-npgbj,76m,260Mi,1202m,106Mi,BLOCKED
00:50:04,drupal-mysql-d86854f86-229bw,22m,479Mi,1202m,106Mi,BLOCKED
00:50:09,drupal-deployment-677cb58b94-npgbj,22m,260Mi,1507m,107Mi,BLOCKED
00:50:09,drupal-mysql-d86854f86-229bw,22m,479Mi,1507m,107Mi,BLOCKED
00:50:15,drupal-deployment-677cb58b94-npgbj,22m,260Mi,1507m,107Mi,NONE
00:50:15,drupal-mysql-d86854f86-229bw,22m,479Mi,1507m,107Mi,NONE
00:50:20,drupal-deployment-677cb58b94-npgbj,22m,260Mi,1507m,107Mi,NONE
00:50:20,drupal-mysql-d86854f86-229bw,22m,479Mi,1507m,107Mi,NONE
00:50:25,drupal-deployment-677cb58b94-npgbj,49m,260Mi,1445m,106Mi,BLOCKED
00:50:25,drupal-mysql-d86854f86-229bw,21m,480Mi,1445m,106Mi,BLOCKED
00:50:30,drupal-deployment-677cb58b94-npgbj,49m,260Mi,1445m,106Mi,BLOCKED
00:50:30,drupal-mysql-d86854f86-229bw,21m,480Mi,1445m,106Mi,BLOCKED
00:50:36,drupal-deployment-677cb58b94-npgbj,49m,260Mi,1445m,106Mi,BLOCKED
00:50:36,drupal-mysql-d86854f86-229bw,21m,480Mi,1445m,106Mi,BLOCKED
00:50:41,drupal-deployment-677cb58b94-npgbj,18m,262Mi,1398m,108Mi,BLOCKED
00:50:41,drupal-mysql-d86854f86-229bw,13m,480Mi,1398m,108Mi,BLOCKED
00:50:46,drupal-deployment-677cb58b94-npgbj,18m,262Mi,1398m,108Mi,BLOCKED
00:50:46,drupal-mysql-d86854f86-229bw,13m,480Mi,1398m,108Mi,BLOCKED
00:50:51,drupal-deployment-677cb58b94-npgbj,18m,262Mi,1398m,108Mi,BLOCKED
00:50:51,drupal-mysql-d86854f86-229bw,13m,480Mi,1398m,108Mi,BLOCKED
00:50:56,drupal-deployment-677cb58b94-npgbj,44m,262Mi,1553m,107Mi,NONE
00:50:56,drupal-mysql-d86854f86-229bw,10m,480Mi,1553m,107Mi,NONE
00:51:02,drupal-deployment-677cb58b94-npgbj,44m,262Mi,1553m,107Mi,NONE
00:51:02,drupal-mysql-d86854f86-229bw,10m,480Mi,1553m,107Mi,NONE
00:51:07,drupal-deployment-677cb58b94-npgbj,27m,262Mi,1447m,105Mi,BLOCKED
00:51:07,drupal-mysql-d86854f86-229bw,13m,480Mi,1447m,105Mi,BLOCKED
00:51:13,drupal-deployment-677cb58b94-npgbj,27m,262Mi,1447m,105Mi,BLOCKED
00:51:13,drupal-mysql-d86854f86-229bw,13m,480Mi,1447m,105Mi,BLOCKED
00:51:18,drupal-deployment-677cb58b94-npgbj,27m,262Mi,1447m,105Mi,BLOCKED
00:51:18,drupal-mysql-d86854f86-229bw,13m,480Mi,1447m,105Mi,BLOCKED
00:51:23,drupal-deployment-677cb58b94-npgbj,34m,262Mi,728m,81Mi,BLOCKED
00:51:23,drupal-mysql-d86854f86-229bw,11m,480Mi,728m,81Mi,BLOCKED
00:51:28,drupal-deployment-677cb58b94-npgbj,34m,262Mi,728m,81Mi,BLOCKED
00:51:28,drupal-mysql-d86854f86-229bw,11m,480Mi,728m,81Mi,BLOCKED
00:51:33,drupal-deployment-677cb58b94-npgbj,34m,262Mi,728m,81Mi,BLOCKED
00:51:33,drupal-mysql-d86854f86-229bw,11m,480Mi,728m,81Mi,BLOCKED
00:51:38,drupal-deployment-677cb58b94-npgbj,34m,262Mi,1m,81Mi,BLOCKED
00:51:38,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,81Mi,BLOCKED
00:51:44,drupal-deployment-677cb58b94-npgbj,34m,262Mi,1m,81Mi,BLOCKED
00:51:44,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,81Mi,BLOCKED
00:51:49,drupal-deployment-677cb58b94-npgbj,34m,262Mi,1m,81Mi,BLOCKED
00:51:49,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,81Mi,BLOCKED
00:51:54,drupal-deployment-677cb58b94-npgbj,21m,262Mi,1m,81Mi,BLOCKED
00:51:54,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,81Mi,BLOCKED
00:51:59,drupal-deployment-677cb58b94-npgbj,21m,262Mi,1m,81Mi,BLOCKED
00:51:59,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,81Mi,BLOCKED
00:52:04,drupal-deployment-677cb58b94-npgbj,21m,262Mi,1m,81Mi,BLOCKED
00:52:04,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,81Mi,BLOCKED
00:52:09,drupal-deployment-677cb58b94-npgbj,23m,262Mi,1m,81Mi,BLOCKED
00:52:09,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,81Mi,BLOCKED
00:52:15,drupal-deployment-677cb58b94-npgbj,23m,262Mi,1m,81Mi,BLOCKED
00:52:15,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,81Mi,BLOCKED
00:52:20,drupal-deployment-677cb58b94-npgbj,23m,262Mi,1m,81Mi,BLOCKED
00:52:20,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,81Mi,BLOCKED
00:52:25,drupal-deployment-677cb58b94-npgbj,19m,262Mi,1m,81Mi,BLOCKED
00:52:25,drupal-mysql-d86854f86-229bw,10m,480Mi,1m,81Mi,BLOCKED
00:52:30,drupal-deployment-677cb58b94-npgbj,19m,262Mi,1m,81Mi,BLOCKED
00:52:30,drupal-mysql-d86854f86-229bw,10m,480Mi,1m,81Mi,BLOCKED
00:52:35,drupal-deployment-677cb58b94-npgbj,19m,262Mi,1m,81Mi,BLOCKED
00:52:35,drupal-mysql-d86854f86-229bw,10m,480Mi,1m,81Mi,BLOCKED
00:52:40,drupal-deployment-677cb58b94-npgbj,23m,264Mi,1m,81Mi,BLOCKED
00:52:40,drupal-mysql-d86854f86-229bw,9m,480Mi,1m,81Mi,BLOCKED
00:52:45,drupal-deployment-677cb58b94-npgbj,23m,264Mi,1m,81Mi,BLOCKED
00:52:45,drupal-mysql-d86854f86-229bw,9m,480Mi,1m,81Mi,BLOCKED
00:52:51,drupal-deployment-677cb58b94-npgbj,23m,264Mi,1m,81Mi,BLOCKED
00:52:51,drupal-mysql-d86854f86-229bw,9m,480Mi,1m,81Mi,BLOCKED
00:52:56,drupal-deployment-677cb58b94-npgbj,21m,264Mi,1m,76Mi,BLOCKED
00:52:56,drupal-mysql-d86854f86-229bw,9m,480Mi,1m,76Mi,BLOCKED
00:53:01,drupal-deployment-677cb58b94-npgbj,21m,264Mi,1m,76Mi,BLOCKED
00:53:01,drupal-mysql-d86854f86-229bw,9m,480Mi,1m,76Mi,BLOCKED
00:53:06,drupal-deployment-677cb58b94-npgbj,21m,264Mi,1m,76Mi,BLOCKED
00:53:06,drupal-mysql-d86854f86-229bw,9m,480Mi,1m,76Mi,BLOCKED
00:53:11,drupal-deployment-677cb58b94-npgbj,17m,264Mi,1m,76Mi,BLOCKED
00:53:11,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:53:17,drupal-deployment-677cb58b94-npgbj,17m,264Mi,1m,76Mi,BLOCKED
00:53:17,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:53:22,drupal-deployment-677cb58b94-npgbj,19m,264Mi,1m,76Mi,BLOCKED
00:53:22,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,76Mi,BLOCKED
00:53:27,drupal-deployment-677cb58b94-npgbj,19m,264Mi,1m,76Mi,BLOCKED
00:53:27,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,76Mi,BLOCKED
00:53:32,drupal-deployment-677cb58b94-npgbj,19m,264Mi,1m,76Mi,BLOCKED
00:53:32,drupal-mysql-d86854f86-229bw,7m,480Mi,1m,76Mi,BLOCKED
00:53:37,drupal-deployment-677cb58b94-npgbj,26m,264Mi,1m,76Mi,BLOCKED
00:53:37,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:53:42,drupal-deployment-677cb58b94-npgbj,26m,264Mi,1m,76Mi,BLOCKED
00:53:42,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:53:47,drupal-deployment-677cb58b94-npgbj,26m,264Mi,1m,76Mi,BLOCKED
00:53:47,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:53:53,drupal-deployment-677cb58b94-npgbj,20m,264Mi,1m,76Mi,BLOCKED
00:53:53,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:53:58,drupal-deployment-677cb58b94-npgbj,20m,264Mi,1m,76Mi,BLOCKED
00:53:58,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:54:03,drupal-deployment-677cb58b94-npgbj,20m,264Mi,1m,76Mi,BLOCKED
00:54:03,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:54:08,drupal-deployment-677cb58b94-npgbj,22m,264Mi,1m,76Mi,BLOCKED
00:54:08,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:54:13,drupal-deployment-677cb58b94-npgbj,22m,264Mi,1m,76Mi,BLOCKED
00:54:13,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:54:18,drupal-deployment-677cb58b94-npgbj,22m,264Mi,1m,76Mi,BLOCKED
00:54:18,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:54:24,drupal-deployment-677cb58b94-npgbj,19m,264Mi,1m,76Mi,BLOCKED
00:54:24,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:54:29,drupal-deployment-677cb58b94-npgbj,19m,264Mi,1m,76Mi,BLOCKED
00:54:29,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
00:54:34,drupal-deployment-677cb58b94-npgbj,19m,264Mi,1m,76Mi,BLOCKED
00:54:34,drupal-mysql-d86854f86-229bw,8m,480Mi,1m,76Mi,BLOCKED
