Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
100,1.0,22.65,74.0,302.51,414.0,1168.36,1444.0,74.89,76.0,99.23,260.0
200,1.0,23.75,64.0,303.04,415.0,1292.13,1459.0,77.95,80.0,95.0,240.0
300,1.0,22.97,69.0,303.69,416.0,1207.91,1463.0,79.85,83.0,96.99,266.0
400,1.0,23.65,56.0,307.47,416.0,1205.0,1472.0,81.88,86.0,94.62,260.0
500,1.0,23.88,65.0,313.86,419.0,1036.83,1523.0,82.01,88.0,90.73,302.0
Average,1.0,23.380000000000003,65.6,306.11400000000003,416.0,1182.0459999999998,1472.2,79.316,82.6,95.31400000000001,265.6
