users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
100,292334.0,0.0,100.0,184.95,276.0,329.0,182.26,1.68,487.23,100.0,100.0,0.994
200,314912.0,0.0,100.0,343.2,570.0,689.0,337.36,3.72,524.85,100.0,99.99,0.921
300,315025.0,0.0,100.0,515.11,881.0,1022.0,506.64,7.35,525.04,100.0,99.98,0.771
400,326598.0,0.0,100.0,662.79,1119.0,1307.0,653.46,12.87,544.33,100.0,99.98,0.684
500,366906.0,0.0,100.0,744.62,1313.0,1548.0,718.13,14.2,611.69,100.0,99.98,0.684
Average,323155.0,0.0,100.0,490.134,831.8,979.0,479.57,7.963999999999999,538.6279999999999,100.0,99.98600000000002,0.8108000000000001
