Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,82.59,101.0,0.65,4.55,4269.47,4299.0,1073.54,16000.0,26332.17,11.4,95.0
200,89.64,101.0,0.51,5.69,4275.16,4306.0,1085.64,13208.0,27944.33,10.6,85.0
300,82.3,101.0,0.68,7.78,4263.97,4294.0,1112.85,12152.0,26646.78,11.9,94.0
400,84.09,101.0,0.51,9.05,4252.28,4301.0,1861.46,15220.0,26816.4,11.5,90.0
500,75.67,101.0,0.89,9.43,4229.53,4267.0,1045.72,14928.0,25757.42,13.1,102.0
Average,82.858,101.0,0.6480000000000001,7.3,4258.082,4293.4,1235.842,14301.6,26699.419999999995,11.7,93.2
