Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
100,1.0,4.85,20.0,301.25,427.0,880.31,1495.0,73.5,75.0,98.9,364.0
200,1.0,4.21,14.0,303.16,427.0,1087.09,1492.0,76.46,79.0,100.0,298.0
300,1.0,4.47,16.0,302.59,427.0,1228.55,1511.0,79.19,82.0,88.81,268.0
400,1.0,4.12,14.0,303.47,427.0,1231.37,1535.0,80.77,84.0,99.27,274.0
500,1.0,3.89,13.0,304.12,427.0,1048.11,1528.0,81.54,88.0,99.38,320.0
Average,1.0,4.308,15.4,302.918,427.0,1095.0859999999998,1512.2,78.292,81.6,97.272,304.8
