Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),Samples
100,1.0,2.52,5.0,254.0,453.0,36.91,48.0,46.0,47.0,264.0
200,1.0,2.05,4.0,289.51,462.0,34.73,57.0,49.06,52.0,316.0
300,1.0,2.04,4.0,289.5,462.0,26.59,61.0,49.32,54.0,468.0
400,1.0,2.09,7.0,291.47,463.0,28.95,67.0,50.54,57.0,448.0
500,1.0,2.1,4.0,291.5,463.0,43.18,60.0,55.3,60.0,288.0
Average,1.0,2.1599999999999997,4.8,283.196,460.6,34.071999999999996,58.6,50.044,54.0,356.8
