Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,14.94,26.0,2.18,0.69,4388.62,4412.0,310.69,1000.0,16645.83,11.4,98.0
200,13.54,28.0,2.16,0.76,4321.33,4343.0,360.12,4628.0,15816.07,16.0,138.0
300,14.21,27.0,2.21,0.42,4294.88,4332.0,287.12,812.0,16027.82,19.8,170.0
400,14.45,36.0,2.15,0.8,4296.88,4333.0,308.27,2340.0,16096.56,19.2,165.0
500,15.18,30.0,2.23,0.59,4277.34,4313.0,304.05,1016.0,16802.01,12.4,107.0
Average,14.463999999999999,29.4,2.186,0.6519999999999999,4315.81,4346.6,314.04999999999995,1959.2,16277.658,15.760000000000002,135.6
