Users,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Samples
1,128.96,297.0,291.59,455.0,288.0
2,178.64,448.0,247.72,458.0,369.0
3,180.78,543.0,236.38,460.0,364.0
4,178.13,787.0,219.76,459.0,512.0
5,169.48,638.0,223.14,460.0,516.0
Average,167.198,542.6,243.718,458.4,409.8
