users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),apdex
1,4362.0,100.0,0.0,137.39,160.0,184.95,108.22,0.52,7.27,1.0
2,7483.0,100.0,0.0,158.27,194.0,229.0,124.27,0.51,12.48,0.998
3,7370.0,99.97,0.03,240.21,317.0,361.0,146.97,0.58,12.28,0.993
4,9859.0,100.0,0.0,238.82,342.2,444.1,174.31,0.68,16.44,0.981
5,9579.0,99.99,0.01,306.89,427.0,495.0,199.9,1.13,15.97,0.975
Average,7730.6,99.992,0.008,216.31599999999997,288.04,342.81000000000006,150.73399999999998,0.6839999999999999,12.888,0.9894000000000001
