Timestamp,Pod_Name,CPU_m,Memory_Mi
20:58:43,ghost-mysql-c75f59f48-hwrzv,93m,439Mi
20:58:48,ghost-deployment-74496d68fd-cmnrm,207m,210Mi
20:58:48,ghost-deployment-74496d68fd-q6mpj,261m,201Mi
20:58:48,ghost-mysql-c75f59f48-hwrzv,95m,439Mi
20:58:53,ghost-deployment-74496d68fd-cmnrm,207m,210Mi
20:58:53,ghost-deployment-74496d68fd-q6mpj,261m,201Mi
20:58:53,ghost-mysql-c75f59f48-hwrzv,95m,439Mi
20:58:58,ghost-deployment-74496d68fd-cmnrm,207m,210Mi
20:58:58,ghost-deployment-74496d68fd-q6mpj,261m,201Mi
20:58:58,ghost-mysql-c75f59f48-hwrzv,95m,439Mi
20:59:03,ghost-deployment-74496d68fd-cmnrm,212m,211Mi
20:59:03,ghost-deployment-74496d68fd-q6mpj,258m,205Mi
20:59:03,ghost-mysql-c75f59f48-hwrzv,95m,439Mi
20:59:09,ghost-deployment-74496d68fd-cmnrm,212m,211Mi
20:59:09,ghost-deployment-74496d68fd-q6mpj,258m,205Mi
20:59:09,ghost-mysql-c75f59f48-hwrzv,95m,439Mi
20:59:14,ghost-deployment-74496d68fd-cmnrm,212m,211Mi
20:59:14,ghost-deployment-74496d68fd-q6mpj,258m,205Mi
20:59:14,ghost-mysql-c75f59f48-hwrzv,95m,439Mi
20:59:19,ghost-deployment-74496d68fd-cmnrm,214m,216Mi
20:59:19,ghost-deployment-74496d68fd-q6mpj,275m,208Mi
20:59:19,ghost-mysql-c75f59f48-hwrzv,95m,440Mi
20:59:24,ghost-deployment-74496d68fd-cmnrm,214m,216Mi
20:59:24,ghost-deployment-74496d68fd-q6mpj,275m,208Mi
20:59:24,ghost-mysql-c75f59f48-hwrzv,95m,440Mi
20:59:29,ghost-deployment-74496d68fd-cmnrm,214m,216Mi
20:59:29,ghost-deployment-74496d68fd-q6mpj,275m,208Mi
20:59:29,ghost-mysql-c75f59f48-hwrzv,95m,440Mi
20:59:34,ghost-deployment-74496d68fd-cmnrm,208m,210Mi
20:59:34,ghost-deployment-74496d68fd-q6mpj,275m,208Mi
20:59:34,ghost-mysql-c75f59f48-hwrzv,98m,440Mi
20:59:39,ghost-deployment-74496d68fd-cmnrm,208m,210Mi
20:59:39,ghost-deployment-74496d68fd-q6mpj,275m,208Mi
20:59:39,ghost-mysql-c75f59f48-hwrzv,98m,440Mi
20:59:44,ghost-deployment-74496d68fd-cmnrm,208m,210Mi
20:59:44,ghost-deployment-74496d68fd-q6mpj,275m,208Mi
20:59:44,ghost-mysql-c75f59f48-hwrzv,98m,440Mi
20:59:49,ghost-deployment-74496d68fd-cmnrm,222m,211Mi
20:59:49,ghost-deployment-74496d68fd-q6mpj,280m,200Mi
20:59:49,ghost-mysql-c75f59f48-hwrzv,95m,440Mi
20:59:54,ghost-deployment-74496d68fd-cmnrm,222m,211Mi
20:59:54,ghost-deployment-74496d68fd-q6mpj,280m,200Mi
20:59:54,ghost-mysql-c75f59f48-hwrzv,95m,440Mi
20:59:59,ghost-deployment-74496d68fd-cmnrm,222m,211Mi
20:59:59,ghost-deployment-74496d68fd-q6mpj,280m,200Mi
20:59:59,ghost-mysql-c75f59f48-hwrzv,95m,440Mi
21:00:04,ghost-deployment-74496d68fd-cmnrm,185m,210Mi
21:00:04,ghost-deployment-74496d68fd-q6mpj,272m,212Mi
21:00:04,ghost-mysql-c75f59f48-hwrzv,97m,441Mi
21:00:09,ghost-deployment-74496d68fd-cmnrm,185m,210Mi
21:00:09,ghost-deployment-74496d68fd-q6mpj,272m,212Mi
21:00:09,ghost-mysql-c75f59f48-hwrzv,97m,441Mi
21:00:14,ghost-deployment-74496d68fd-cmnrm,185m,210Mi
21:00:14,ghost-deployment-74496d68fd-q6mpj,272m,212Mi
21:00:14,ghost-mysql-c75f59f48-hwrzv,97m,441Mi
21:00:19,ghost-deployment-74496d68fd-cmnrm,227m,215Mi
21:00:19,ghost-deployment-74496d68fd-q6mpj,247m,204Mi
21:00:19,ghost-mysql-c75f59f48-hwrzv,97m,441Mi
21:00:24,ghost-deployment-74496d68fd-cmnrm,227m,215Mi
21:00:24,ghost-deployment-74496d68fd-q6mpj,247m,204Mi
21:00:24,ghost-mysql-c75f59f48-hwrzv,97m,441Mi
21:00:29,ghost-deployment-74496d68fd-cmnrm,227m,215Mi
21:00:30,ghost-deployment-74496d68fd-q6mpj,247m,204Mi
21:00:30,ghost-mysql-c75f59f48-hwrzv,97m,441Mi
21:00:35,ghost-deployment-74496d68fd-cmnrm,234m,215Mi
21:00:35,ghost-deployment-74496d68fd-q6mpj,265m,203Mi
21:00:35,ghost-mysql-c75f59f48-hwrzv,96m,440Mi
21:00:40,ghost-deployment-74496d68fd-cmnrm,234m,215Mi
21:00:40,ghost-deployment-74496d68fd-q6mpj,265m,203Mi
21:00:40,ghost-mysql-c75f59f48-hwrzv,96m,440Mi
21:00:45,ghost-deployment-74496d68fd-cmnrm,234m,215Mi
21:00:45,ghost-deployment-74496d68fd-q6mpj,265m,203Mi
21:00:45,ghost-mysql-c75f59f48-hwrzv,96m,440Mi
21:00:50,ghost-deployment-74496d68fd-cmnrm,197m,224Mi
21:00:50,ghost-deployment-74496d68fd-q6mpj,236m,203Mi
21:00:50,ghost-mysql-c75f59f48-hwrzv,95m,441Mi
21:00:55,ghost-deployment-74496d68fd-cmnrm,197m,224Mi
21:00:55,ghost-deployment-74496d68fd-q6mpj,236m,203Mi
21:00:55,ghost-mysql-c75f59f48-hwrzv,95m,441Mi
21:01:00,ghost-deployment-74496d68fd-cmnrm,197m,224Mi
21:01:00,ghost-deployment-74496d68fd-q6mpj,236m,203Mi
21:01:00,ghost-mysql-c75f59f48-hwrzv,95m,441Mi
21:01:05,ghost-deployment-74496d68fd-cmnrm,222m,212Mi
21:01:05,ghost-deployment-74496d68fd-q6mpj,223m,207Mi
21:01:05,ghost-mysql-c75f59f48-hwrzv,95m,441Mi
21:01:10,ghost-deployment-74496d68fd-cmnrm,222m,212Mi
21:01:10,ghost-deployment-74496d68fd-q6mpj,223m,207Mi
21:01:10,ghost-mysql-c75f59f48-hwrzv,95m,441Mi
21:01:15,ghost-deployment-74496d68fd-cmnrm,222m,212Mi
21:01:15,ghost-deployment-74496d68fd-q6mpj,223m,207Mi
21:01:15,ghost-mysql-c75f59f48-hwrzv,95m,441Mi
21:01:20,ghost-deployment-74496d68fd-cmnrm,222m,212Mi
21:01:20,ghost-deployment-74496d68fd-q6mpj,245m,203Mi
21:01:20,ghost-mysql-c75f59f48-hwrzv,95m,441Mi
21:01:25,ghost-deployment-74496d68fd-cmnrm,222m,212Mi
21:01:25,ghost-deployment-74496d68fd-q6mpj,245m,203Mi
21:01:25,ghost-mysql-c75f59f48-hwrzv,95m,441Mi
21:01:30,ghost-deployment-74496d68fd-cmnrm,222m,212Mi
21:01:30,ghost-deployment-74496d68fd-q6mpj,245m,203Mi
21:01:30,ghost-mysql-c75f59f48-hwrzv,95m,441Mi
21:01:35,ghost-deployment-74496d68fd-cmnrm,215m,213Mi
21:01:35,ghost-deployment-74496d68fd-q6mpj,260m,206Mi
21:01:35,ghost-mysql-c75f59f48-hwrzv,98m,441Mi
21:01:40,ghost-deployment-74496d68fd-cmnrm,215m,213Mi
21:01:40,ghost-deployment-74496d68fd-q6mpj,260m,206Mi
21:01:40,ghost-mysql-c75f59f48-hwrzv,98m,441Mi
21:01:45,ghost-deployment-74496d68fd-cmnrm,215m,213Mi
21:01:45,ghost-deployment-74496d68fd-q6mpj,260m,206Mi
21:01:45,ghost-mysql-c75f59f48-hwrzv,98m,441Mi
21:01:51,ghost-deployment-74496d68fd-cmnrm,231m,209Mi
21:01:51,ghost-deployment-74496d68fd-q6mpj,260m,206Mi
21:01:51,ghost-mysql-c75f59f48-hwrzv,98m,441Mi
21:01:56,ghost-deployment-74496d68fd-cmnrm,231m,209Mi
21:01:56,ghost-deployment-74496d68fd-q6mpj,260m,206Mi
21:01:56,ghost-mysql-c75f59f48-hwrzv,98m,441Mi
21:02:01,ghost-deployment-74496d68fd-cmnrm,231m,209Mi
21:02:01,ghost-deployment-74496d68fd-q6mpj,260m,206Mi
21:02:01,ghost-mysql-c75f59f48-hwrzv,98m,441Mi
21:02:06,ghost-deployment-74496d68fd-cmnrm,208m,217Mi
21:02:06,ghost-deployment-74496d68fd-q6mpj,278m,202Mi
21:02:06,ghost-mysql-c75f59f48-hwrzv,100m,442Mi
21:02:11,ghost-deployment-74496d68fd-cmnrm,208m,217Mi
21:02:11,ghost-deployment-74496d68fd-q6mpj,278m,202Mi
21:02:11,ghost-mysql-c75f59f48-hwrzv,100m,442Mi
21:02:16,ghost-deployment-74496d68fd-cmnrm,208m,217Mi
21:02:16,ghost-deployment-74496d68fd-q6mpj,278m,202Mi
21:02:16,ghost-mysql-c75f59f48-hwrzv,100m,442Mi
21:02:21,ghost-deployment-74496d68fd-cmnrm,194m,213Mi
21:02:21,ghost-deployment-74496d68fd-q6mpj,256m,203Mi
21:02:21,ghost-mysql-c75f59f48-hwrzv,96m,442Mi
21:02:26,ghost-deployment-74496d68fd-cmnrm,194m,213Mi
21:02:26,ghost-deployment-74496d68fd-q6mpj,256m,203Mi
21:02:26,ghost-mysql-c75f59f48-hwrzv,96m,442Mi
21:02:31,ghost-deployment-74496d68fd-cmnrm,194m,213Mi
21:02:31,ghost-deployment-74496d68fd-q6mpj,256m,203Mi
21:02:31,ghost-mysql-c75f59f48-hwrzv,96m,442Mi
21:02:36,ghost-deployment-74496d68fd-cmnrm,209m,213Mi
21:02:36,ghost-deployment-74496d68fd-q6mpj,244m,202Mi
21:02:36,ghost-mysql-c75f59f48-hwrzv,95m,442Mi
21:02:41,ghost-deployment-74496d68fd-cmnrm,209m,213Mi
21:02:41,ghost-deployment-74496d68fd-q6mpj,244m,202Mi
21:02:41,ghost-mysql-c75f59f48-hwrzv,95m,442Mi
21:02:46,ghost-deployment-74496d68fd-cmnrm,209m,213Mi
21:02:46,ghost-deployment-74496d68fd-q6mpj,244m,202Mi
21:02:46,ghost-mysql-c75f59f48-hwrzv,95m,442Mi
21:02:51,ghost-deployment-74496d68fd-cmnrm,211m,213Mi
21:02:51,ghost-deployment-74496d68fd-q6mpj,229m,203Mi
21:02:51,ghost-mysql-c75f59f48-hwrzv,93m,442Mi
21:02:56,ghost-deployment-74496d68fd-cmnrm,211m,213Mi
21:02:56,ghost-deployment-74496d68fd-q6mpj,229m,203Mi
21:02:56,ghost-mysql-c75f59f48-hwrzv,93m,442Mi
21:03:01,ghost-deployment-74496d68fd-cmnrm,211m,213Mi
21:03:01,ghost-deployment-74496d68fd-q6mpj,229m,203Mi
21:03:01,ghost-mysql-c75f59f48-hwrzv,93m,442Mi
21:03:06,ghost-deployment-74496d68fd-cmnrm,217m,216Mi
21:03:06,ghost-deployment-74496d68fd-q6mpj,239m,205Mi
21:03:06,ghost-mysql-c75f59f48-hwrzv,95m,442Mi
21:03:12,ghost-deployment-74496d68fd-cmnrm,217m,216Mi
21:03:12,ghost-deployment-74496d68fd-q6mpj,239m,205Mi
21:03:12,ghost-mysql-c75f59f48-hwrzv,95m,442Mi
21:03:17,ghost-deployment-74496d68fd-cmnrm,217m,216Mi
21:03:17,ghost-deployment-74496d68fd-q6mpj,239m,205Mi
21:03:17,ghost-mysql-c75f59f48-hwrzv,95m,442Mi
21:03:22,ghost-deployment-74496d68fd-cmnrm,226m,211Mi
21:03:22,ghost-deployment-74496d68fd-q6mpj,233m,202Mi
21:03:22,ghost-mysql-c75f59f48-hwrzv,97m,442Mi
