users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
100,300388.0,0.0,100.0,180.07,267.0,312.0,178.59,1.28,500.68,100.0,100.0,0.996
200,291525.0,0.0,100.0,371.36,559.0,666.0,363.03,5.34,485.94,100.0,99.98,0.923
300,316732.0,0.0,100.0,512.13,860.0,1021.0,503.71,7.68,527.97,100.0,99.99,0.77
400,316538.0,0.0,100.0,700.37,1088.0,1301.0,634.43,56.42,527.59,100.0,99.96,0.694
500,317202.0,0.0,100.0,882.63,1253.0,1470.0,753.31,101.07,528.7,100.0,99.91,0.627
Average,308477.0,0.0,100.0,529.312,805.4,954.0,486.6139999999999,34.358,514.176,100.0,99.968,0.8019999999999999
