Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,80.92,101.0,0.63,4.01,4382.78,4409.0,734.25,11844.0,25955.38,11.8,98.0
200,70.28,101.0,0.8,6.1,4321.66,4349.0,533.48,15944.0,24142.94,13.3,109.0
300,87.38,101.0,0.33,9.58,4308.8,4333.0,264.94,608.0,27593.86,11.1,87.0
400,72.2,101.0,0.73,7.34,4301.94,4334.0,814.79,11888.0,24640.67,13.6,107.0
500,75.97,101.0,0.56,7.87,4292.44,4332.0,840.3,12126.73,25061.48,12.8,100.0
Average,77.35,101.0,0.6100000000000001,6.9799999999999995,4321.523999999999,4351.4,637.552,10482.145999999999,25478.865999999998,12.520000000000001,100.2
