Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,92.86,101.0,0.3,3.94,4295.29,4324.0,386.26,6224.0,27496.38,10.4,125.0
200,93.14,101.0,0.26,6.24,4300.01,4324.0,925.24,12264.0,27892.78,10.5,125.0
300,92.54,101.0,0.23,6.42,4299.56,4331.0,633.93,11768.0,28464.68,10.6,125.0
400,95.3,101.0,0.18,8.76,4286.07,4313.0,963.61,13328.0,28784.03,10.7,125.0
500,92.52,101.0,0.18,7.89,4305.59,4336.0,952.4,40876.0,27169.16,10.8,125.0
Average,93.272,101.0,0.22999999999999998,6.65,4297.304,4325.6,772.288,16892.0,27961.406,10.6,125.0
