Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
100,1.0,4.72,23.0,274.4,380.0,1345.61,1527.0,80.37,81.0,99.2,250.0
200,1.0,4.08,10.0,276.26,380.0,1427.6,1543.0,83.61,85.0,99.2,250.0
300,1.0,3.75,14.0,276.75,380.0,1441.2,1565.0,85.66,88.0,97.6,250.0
400,1.0,4.16,9.0,275.92,380.0,1438.13,1589.0,88.35,91.0,88.0,250.0
500,1.0,4.0,11.0,276.77,380.0,1385.3,1564.0,90.5,94.0,100.0,250.0
Average,1.0,4.142,13.4,276.02,380.0,1407.568,1557.6,85.69800000000001,87.8,96.8,250.0
