users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
100,303061.0,0.0,100.0,186.64,277.0,320.0,185.36,1.19,484.96,100.0,99.99,0.997
200,315313.0,0.0,100.0,358.61,605.0,751.0,356.45,3.95,504.53,100.0,99.99,0.911
300,331231.0,0.0,100.0,512.16,884.0,1069.0,508.86,7.17,529.99,100.0,99.99,0.774
400,332906.0,0.0,100.0,679.42,1146.0,1344.0,674.41,12.1,532.68,100.0,99.98,0.668
500,313914.0,0.0,100.0,901.21,1535.0,1833.0,894.74,21.84,502.28,100.0,99.97,0.601
Average,319285.0,0.0,100.0,527.608,889.4,1063.4,523.9639999999999,9.25,510.8879999999999,100.0,99.984,0.7902
