Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
19:52:02,ghost-deployment-74496d68fd-m24pb,4m,112Mi,1m,43Mi
19:52:02,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,1m,43Mi
19:52:08,ghost-deployment-74496d68fd-m24pb,5m,112Mi,1m,43Mi
19:52:08,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,1m,43Mi
19:52:13,ghost-deployment-74496d68fd-m24pb,5m,112Mi,1m,43Mi
19:52:13,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,1m,43Mi
19:52:18,ghost-deployment-74496d68fd-m24pb,5m,112Mi,1m,43Mi
19:52:18,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,1m,43Mi
19:52:23,ghost-deployment-74496d68fd-m24pb,2m,112Mi,3m,43Mi
19:52:23,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,3m,43Mi
19:52:28,ghost-deployment-74496d68fd-m24pb,2m,112Mi,3m,43Mi
19:52:28,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,3m,43Mi
19:52:33,ghost-deployment-74496d68fd-m24pb,2m,112Mi,3m,43Mi
19:52:33,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,3m,43Mi
19:52:38,ghost-deployment-74496d68fd-m24pb,8m,112Mi,34m,45Mi
19:52:38,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,34m,45Mi
19:52:43,ghost-deployment-74496d68fd-m24pb,8m,112Mi,34m,45Mi
19:52:43,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,34m,45Mi
19:52:48,ghost-deployment-74496d68fd-m24pb,8m,112Mi,34m,45Mi
19:52:48,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,34m,45Mi
19:52:54,ghost-deployment-74496d68fd-m24pb,3m,113Mi,54m,46Mi
19:52:54,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,54m,46Mi
19:52:59,ghost-deployment-74496d68fd-m24pb,3m,113Mi,54m,46Mi
19:52:59,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,54m,46Mi
19:53:04,ghost-deployment-74496d68fd-m24pb,3m,113Mi,54m,46Mi
19:53:04,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,54m,46Mi
19:53:09,ghost-deployment-74496d68fd-m24pb,3m,113Mi,63m,47Mi
19:53:09,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,47Mi
19:53:14,ghost-deployment-74496d68fd-m24pb,3m,113Mi,63m,47Mi
19:53:14,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,47Mi
19:53:19,ghost-deployment-74496d68fd-m24pb,3m,113Mi,66m,48Mi
19:53:19,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,66m,48Mi
19:53:24,ghost-deployment-74496d68fd-m24pb,11m,112Mi,66m,48Mi
19:53:24,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,66m,48Mi
19:53:29,ghost-deployment-74496d68fd-m24pb,11m,112Mi,66m,48Mi
19:53:29,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,66m,48Mi
19:53:35,ghost-deployment-74496d68fd-m24pb,4m,112Mi,68m,48Mi
19:53:35,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,68m,48Mi
19:53:40,ghost-deployment-74496d68fd-m24pb,4m,112Mi,68m,48Mi
19:53:40,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,68m,48Mi
19:53:45,ghost-deployment-74496d68fd-m24pb,4m,112Mi,68m,48Mi
19:53:45,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,68m,48Mi
19:53:50,ghost-deployment-74496d68fd-m24pb,4m,112Mi,68m,48Mi
19:53:50,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,68m,48Mi
19:53:55,ghost-deployment-74496d68fd-m24pb,4m,112Mi,68m,48Mi
19:53:55,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,68m,48Mi
19:54:00,ghost-deployment-74496d68fd-m24pb,4m,112Mi,68m,48Mi
19:54:00,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,68m,48Mi
19:54:05,ghost-deployment-74496d68fd-m24pb,5m,113Mi,65m,48Mi
19:54:05,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,48Mi
19:54:10,ghost-deployment-74496d68fd-m24pb,5m,113Mi,65m,48Mi
19:54:10,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,48Mi
19:54:15,ghost-deployment-74496d68fd-m24pb,5m,113Mi,65m,48Mi
19:54:15,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,48Mi
19:54:21,ghost-deployment-74496d68fd-m24pb,3m,113Mi,65m,48Mi
19:54:21,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,48Mi
19:54:26,ghost-deployment-74496d68fd-m24pb,3m,113Mi,65m,48Mi
19:54:26,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,48Mi
19:54:31,ghost-deployment-74496d68fd-m24pb,3m,113Mi,65m,48Mi
19:54:31,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,48Mi
19:54:36,ghost-deployment-74496d68fd-m24pb,3m,112Mi,63m,48Mi
19:54:36,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,63m,48Mi
19:54:41,ghost-deployment-74496d68fd-m24pb,3m,112Mi,63m,48Mi
19:54:41,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,63m,48Mi
19:54:46,ghost-deployment-74496d68fd-m24pb,3m,112Mi,63m,48Mi
19:54:46,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,63m,48Mi
19:54:51,ghost-deployment-74496d68fd-m24pb,6m,113Mi,61m,48Mi
19:54:51,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,61m,48Mi
19:54:56,ghost-deployment-74496d68fd-m24pb,6m,113Mi,61m,48Mi
19:54:56,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,61m,48Mi
19:55:02,ghost-deployment-74496d68fd-m24pb,6m,113Mi,61m,48Mi
19:55:02,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,61m,48Mi
19:55:07,ghost-deployment-74496d68fd-m24pb,2m,112Mi,64m,48Mi
19:55:07,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,48Mi
19:55:12,ghost-deployment-74496d68fd-m24pb,2m,112Mi,64m,48Mi
19:55:12,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,48Mi
19:55:17,ghost-deployment-74496d68fd-m24pb,2m,112Mi,64m,48Mi
19:55:17,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,48Mi
19:55:22,ghost-deployment-74496d68fd-m24pb,2m,112Mi,64m,48Mi
19:55:22,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,48Mi
19:55:27,ghost-deployment-74496d68fd-m24pb,2m,112Mi,64m,48Mi
19:55:27,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,48Mi
19:55:32,ghost-deployment-74496d68fd-m24pb,2m,112Mi,64m,48Mi
19:55:32,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,48Mi
19:55:37,ghost-deployment-74496d68fd-m24pb,5m,113Mi,62m,48Mi
19:55:37,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,62m,48Mi
19:55:43,ghost-deployment-74496d68fd-m24pb,5m,113Mi,62m,48Mi
19:55:43,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,62m,48Mi
19:55:48,ghost-deployment-74496d68fd-m24pb,5m,113Mi,62m,48Mi
19:55:48,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,62m,48Mi
19:55:53,ghost-deployment-74496d68fd-m24pb,4m,112Mi,61m,48Mi
19:55:53,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,61m,48Mi
19:55:58,ghost-deployment-74496d68fd-m24pb,4m,112Mi,61m,48Mi
19:55:58,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,61m,48Mi
19:56:03,ghost-deployment-74496d68fd-m24pb,4m,112Mi,61m,48Mi
19:56:03,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,61m,48Mi
19:56:08,ghost-deployment-74496d68fd-m24pb,4m,112Mi,60m,48Mi
19:56:08,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,60m,48Mi
19:56:13,ghost-deployment-74496d68fd-m24pb,4m,112Mi,60m,48Mi
19:56:13,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,60m,48Mi
