Timestamp,Pod_Name,App_CPU_m,App_Memory_Mi,Ingress_CPU_m,Ingress_Memory_Mi
21:20:21,ghost-deployment-74496d68fd-m24pb,3m,113Mi,62m,58Mi
21:20:21,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,62m,58Mi
21:20:27,ghost-deployment-74496d68fd-m24pb,3m,113Mi,62m,58Mi
21:20:27,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,62m,58Mi
21:20:32,ghost-deployment-74496d68fd-m24pb,3m,113Mi,62m,58Mi
21:20:32,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,62m,58Mi
21:20:37,ghost-deployment-74496d68fd-m24pb,3m,114Mi,67m,57Mi
21:20:37,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,67m,57Mi
21:20:42,ghost-deployment-74496d68fd-m24pb,3m,114Mi,67m,57Mi
21:20:42,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,67m,57Mi
21:20:47,ghost-deployment-74496d68fd-m24pb,3m,114Mi,67m,57Mi
21:20:47,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,67m,57Mi
21:20:52,ghost-deployment-74496d68fd-m24pb,4m,113Mi,66m,57Mi
21:20:52,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,66m,57Mi
21:20:57,ghost-deployment-74496d68fd-m24pb,4m,113Mi,66m,57Mi
21:20:57,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,66m,57Mi
21:21:02,ghost-deployment-74496d68fd-m24pb,4m,113Mi,66m,57Mi
21:21:02,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,66m,57Mi
21:21:07,ghost-deployment-74496d68fd-m24pb,3m,113Mi,65m,56Mi
21:21:07,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,56Mi
21:21:13,ghost-deployment-74496d68fd-m24pb,3m,113Mi,65m,56Mi
21:21:13,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,56Mi
21:21:18,ghost-deployment-74496d68fd-m24pb,3m,113Mi,65m,56Mi
21:21:18,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,56Mi
21:21:23,ghost-deployment-74496d68fd-m24pb,4m,114Mi,63m,56Mi
21:21:23,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,56Mi
21:21:28,ghost-deployment-74496d68fd-m24pb,4m,114Mi,63m,56Mi
21:21:28,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,56Mi
21:21:33,ghost-deployment-74496d68fd-m24pb,4m,114Mi,63m,56Mi
21:21:33,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,56Mi
21:21:38,ghost-deployment-74496d68fd-m24pb,3m,113Mi,65m,56Mi
21:21:38,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,56Mi
21:21:43,ghost-deployment-74496d68fd-m24pb,3m,113Mi,65m,56Mi
21:21:43,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,56Mi
21:21:48,ghost-deployment-74496d68fd-m24pb,3m,113Mi,65m,56Mi
21:21:48,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,56Mi
21:21:53,ghost-deployment-74496d68fd-m24pb,3m,114Mi,64m,56Mi
21:21:53,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:21:59,ghost-deployment-74496d68fd-m24pb,3m,114Mi,64m,56Mi
21:21:59,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:22:04,ghost-deployment-74496d68fd-m24pb,3m,114Mi,64m,56Mi
21:22:04,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:22:09,ghost-deployment-74496d68fd-m24pb,2m,113Mi,56m,55Mi
21:22:09,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,56m,55Mi
21:22:14,ghost-deployment-74496d68fd-m24pb,2m,113Mi,56m,55Mi
21:22:14,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,56m,55Mi
21:22:19,ghost-deployment-74496d68fd-m24pb,2m,113Mi,56m,55Mi
21:22:19,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,56m,55Mi
21:22:24,ghost-deployment-74496d68fd-m24pb,4m,113Mi,64m,56Mi
21:22:24,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:22:29,ghost-deployment-74496d68fd-m24pb,4m,113Mi,64m,56Mi
21:22:29,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:22:34,ghost-deployment-74496d68fd-m24pb,2m,113Mi,64m,56Mi
21:22:34,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:22:40,ghost-deployment-74496d68fd-m24pb,2m,113Mi,64m,56Mi
21:22:40,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:22:45,ghost-deployment-74496d68fd-m24pb,2m,113Mi,64m,56Mi
21:22:45,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:22:50,ghost-deployment-74496d68fd-m24pb,3m,114Mi,64m,56Mi
21:22:50,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:22:55,ghost-deployment-74496d68fd-m24pb,3m,114Mi,64m,56Mi
21:22:55,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:23:00,ghost-deployment-74496d68fd-m24pb,3m,114Mi,64m,56Mi
21:23:00,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,64m,56Mi
21:23:05,ghost-deployment-74496d68fd-m24pb,3m,114Mi,69m,55Mi
21:23:05,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,69m,55Mi
21:23:10,ghost-deployment-74496d68fd-m24pb,3m,114Mi,69m,55Mi
21:23:10,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,69m,55Mi
21:23:15,ghost-deployment-74496d68fd-m24pb,3m,114Mi,69m,55Mi
21:23:15,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,69m,55Mi
21:23:20,ghost-deployment-74496d68fd-m24pb,5m,114Mi,65m,56Mi
21:23:20,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,56Mi
21:23:26,ghost-deployment-74496d68fd-m24pb,5m,114Mi,65m,56Mi
21:23:26,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,56Mi
21:23:31,ghost-deployment-74496d68fd-m24pb,5m,114Mi,65m,56Mi
21:23:31,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,56Mi
21:23:36,ghost-deployment-74496d68fd-m24pb,2m,114Mi,63m,56Mi
21:23:36,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,56Mi
21:23:41,ghost-deployment-74496d68fd-m24pb,2m,114Mi,63m,56Mi
21:23:41,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,56Mi
21:23:46,ghost-deployment-74496d68fd-m24pb,2m,114Mi,63m,56Mi
21:23:46,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,56Mi
21:23:51,ghost-deployment-74496d68fd-m24pb,4m,113Mi,65m,55Mi
21:23:51,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,55Mi
21:23:56,ghost-deployment-74496d68fd-m24pb,4m,113Mi,65m,55Mi
21:23:56,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,55Mi
21:24:01,ghost-deployment-74496d68fd-m24pb,4m,113Mi,65m,55Mi
21:24:01,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,65m,55Mi
21:24:06,ghost-deployment-74496d68fd-m24pb,4m,114Mi,62m,56Mi
21:24:06,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,62m,56Mi
21:24:12,ghost-deployment-74496d68fd-m24pb,4m,114Mi,62m,56Mi
21:24:12,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,62m,56Mi
21:24:17,ghost-deployment-74496d68fd-m24pb,4m,114Mi,62m,56Mi
21:24:17,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,62m,56Mi
21:24:22,ghost-deployment-74496d68fd-m24pb,4m,113Mi,64m,56Mi
21:24:22,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,64m,56Mi
21:24:27,ghost-deployment-74496d68fd-m24pb,4m,113Mi,64m,56Mi
21:24:27,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,64m,56Mi
21:24:32,ghost-deployment-74496d68fd-m24pb,4m,113Mi,64m,56Mi
21:24:32,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,64m,56Mi
21:24:37,ghost-deployment-74496d68fd-m24pb,2m,114Mi,61m,56Mi
21:24:37,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,61m,56Mi
21:24:42,ghost-deployment-74496d68fd-m24pb,2m,114Mi,61m,56Mi
21:24:42,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,61m,56Mi
21:24:47,ghost-deployment-74496d68fd-m24pb,2m,114Mi,61m,56Mi
21:24:47,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,61m,56Mi
21:24:53,ghost-deployment-74496d68fd-m24pb,4m,114Mi,63m,56Mi
21:24:53,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,56Mi
21:24:58,ghost-deployment-74496d68fd-m24pb,4m,114Mi,63m,56Mi
21:24:58,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,56Mi
21:25:03,ghost-deployment-74496d68fd-m24pb,4m,114Mi,63m,56Mi
21:25:03,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,56Mi
21:25:08,ghost-deployment-74496d68fd-m24pb,2m,113Mi,63m,55Mi
21:25:08,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,55Mi
21:25:13,ghost-deployment-74496d68fd-m24pb,2m,113Mi,63m,55Mi
21:25:13,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,55Mi
21:25:18,ghost-deployment-74496d68fd-m24pb,2m,113Mi,63m,55Mi
21:25:18,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,63m,55Mi
21:25:23,ghost-deployment-74496d68fd-m24pb,3m,114Mi,60m,56Mi
21:25:23,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,60m,56Mi
21:25:28,ghost-deployment-74496d68fd-m24pb,3m,114Mi,60m,56Mi
21:25:28,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,60m,56Mi
21:25:33,ghost-deployment-74496d68fd-m24pb,3m,114Mi,60m,56Mi
21:25:33,ghost-mysql-c75f59f48-5s7w5,4m,383Mi,60m,56Mi
21:25:39,ghost-deployment-74496d68fd-m24pb,3m,114Mi,53m,56Mi
21:25:39,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,53m,56Mi
21:25:44,ghost-deployment-74496d68fd-m24pb,3m,114Mi,53m,56Mi
21:25:44,ghost-mysql-c75f59f48-5s7w5,3m,383Mi,53m,56Mi
