Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),Samples
100,1.0,16.15,38.0,333.51,463.0,49.5,69.0,79.18,81.0,292.0
200,1.0,15.94,38.0,336.96,464.0,53.97,69.0,82.43,84.0,266.0
300,1.0,16.12,37.0,337.5,465.0,59.52,72.0,84.69,87.0,260.0
400,1.0,15.9,45.0,337.38,466.0,44.99,78.0,84.72,90.0,358.0
500,1.0,16.82,39.0,339.17,469.0,62.41,83.0,88.72,93.0,276.0
Average,1.0,16.186,39.4,336.904,465.4,54.077999999999996,74.2,83.94800000000001,87.0,290.4
