users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache hit (%),apdex
100,98115.0,100.0,0.0,552.46,733.0,854.0,510.01,10.27,163.53,100.0,0.734
200,95491.0,100.0,0.0,1133.38,1442.0,2023.0,1046.6,40.89,159.16,100.0,0.514
300,102567.0,100.0,0.0,1582.35,1865.0,2176.0,1509.02,81.56,170.95,100.0,0.499
400,102329.0,99.99,0.01,2144.8,2502.0,4099.2,1964.47,137.58,170.55,100.0,0.351
500,104718.0,100.0,0.0,2590.47,3940.0,6364.0,2396.11,199.49,174.55,100.0,0.143
Average,100644.0,99.998,0.002,1600.6919999999998,2096.4,3103.2400000000002,1485.2420000000002,93.958,167.748,100.0,0.44819999999999993
