Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,17.94,35.0,3.2,0.62,4289.49,4327.0,683.68,4736.0,18833.53,12.4,107.0
200,18.25,41.0,3.07,0.9,4265.96,4288.0,771.0,4624.0,19048.72,11.2,97.0
300,18.96,40.0,2.96,1.22,4281.45,4302.0,808.8,6692.0,19421.85,11.0,95.0
400,17.39,38.0,2.82,0.97,4280.28,4315.0,810.83,6572.0,18026.85,15.1,130.0
500,18.9,37.0,2.78,1.1,4254.52,4295.0,740.26,4160.0,19156.18,11.8,102.0
Average,18.288,38.2,2.966,0.9620000000000001,4274.34,4305.4,762.914,5356.8,18897.426,12.3,106.2
