Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,61.95,100.0,2.35,19.49,3818.32,4385.0,1654.94,9868.0,25885.26,13.5,114.0
200,74.81,101.0,1.53,30.29,3539.73,4225.0,1544.22,7068.0,30121.83,11.2,93.0
300,68.66,100.0,1.74,23.7,3522.26,4238.0,1659.89,11584.0,28592.23,12.0,101.0
400,75.76,100.0,1.56,30.0,3280.43,3930.0,1721.83,8784.15,28641.2,8.0,88.0
500,46.67,75.0,1.93,3.71,4011.86,4169.0,660.01,6504.0,23293.72,9.6,83.0
Average,65.57000000000001,95.2,1.8219999999999998,21.438,3634.5200000000004,4189.4,1448.178,8761.630000000001,27306.847999999998,10.860000000000001,95.8
