users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
100,243108.0,0.0,100.0,222.56,358.0,432.0,218.08,1.97,405.18,100.0,99.99,0.986
200,244998.0,0.0,100.0,441.65,734.0,887.0,433.79,5.82,408.33,100.0,99.99,0.853
300,276738.0,0.0,100.0,587.42,1079.0,1366.0,571.19,16.16,461.23,100.0,99.96,0.75
400,260384.0,0.0,100.0,832.64,1423.0,1685.0,806.69,22.35,433.97,100.0,99.95,0.631
500,258430.0,0.0,100.0,1073.4,1623.0,1923.0,960.3,63.47,432.96,100.0,99.91,0.576
Average,256731.6,0.0,100.0,631.534,1043.4,1258.6,598.01,21.954,428.334,100.0,99.96,0.7592
