Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
100,1.0,19.1,45.0,301.07,412.0,1319.56,1548.0,66.96,68.0,97.66,256.0
200,1.0,20.46,52.0,301.82,413.0,1294.17,1562.0,69.45,71.0,91.41,256.0
300,1.0,22.23,59.0,305.63,415.0,1272.05,1557.0,71.73,74.0,90.84,262.0
400,1.0,22.01,65.0,312.07,418.0,1230.93,1563.0,73.53,78.0,97.01,268.0
500,1.0,19.83,48.0,314.15,419.0,1225.57,1573.0,75.11,81.0,97.89,284.0
Average,1.0,20.726000000000003,53.8,306.948,415.4,1268.456,1560.6,71.356,74.4,94.96199999999999,265.2
