Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,82.54,101.0,0.6,5.07,4313.48,4345.0,1245.45,14008.0,24528.88,11.8,98.0
200,83.26,101.0,0.59,5.49,4320.41,4335.0,1802.71,37493.07,24424.95,11.6,94.0
300,82.93,101.0,0.58,7.74,4296.46,4331.0,856.31,9584.0,25371.02,11.7,91.0
400,84.15,101.0,0.44,7.45,4284.08,4307.0,1032.62,14596.0,25639.3,11.5,89.0
500,79.61,101.0,0.7,8.61,4277.78,4328.0,986.76,13956.0,24555.99,12.2,92.0
Average,82.498,101.0,0.5820000000000001,6.872,4298.442,4329.2,1184.77,17927.414,24904.028000000002,11.76,92.8
