Timestamp,Pod_Name,CPU_m,Memory_Mi
09:02:32,wordpress-deployment-7c7bb76d6f-n4rz9,341m,194Mi
09:02:32,wordpress-deployment-7c7bb76d6f-q8q95,432m,181Mi
09:02:32,wordpress-deployment-7c7bb76d6f-sdtc8,391m,234Mi
09:02:32,wordpress-mysql-8484774888-46s7v,144m,546Mi
09:02:38,wordpress-deployment-7c7bb76d6f-n4rz9,367m,204Mi
09:02:38,wordpress-deployment-7c7bb76d6f-q8q95,382m,171Mi
09:02:38,wordpress-deployment-7c7bb76d6f-sdtc8,436m,236Mi
09:02:38,wordpress-mysql-8484774888-46s7v,130m,547Mi
09:02:43,wordpress-deployment-7c7bb76d6f-n4rz9,367m,204Mi
09:02:43,wordpress-deployment-7c7bb76d6f-q8q95,382m,171Mi
09:02:43,wordpress-deployment-7c7bb76d6f-sdtc8,436m,236Mi
09:02:43,wordpress-mysql-8484774888-46s7v,130m,547Mi
09:02:48,wordpress-deployment-7c7bb76d6f-n4rz9,367m,204Mi
09:02:48,wordpress-deployment-7c7bb76d6f-q8q95,382m,171Mi
09:02:48,wordpress-deployment-7c7bb76d6f-sdtc8,436m,236Mi
09:02:48,wordpress-mysql-8484774888-46s7v,130m,547Mi
09:02:53,wordpress-deployment-7c7bb76d6f-n4rz9,385m,191Mi
09:02:53,wordpress-deployment-7c7bb76d6f-q8q95,482m,204Mi
09:02:53,wordpress-deployment-7c7bb76d6f-sdtc8,381m,220Mi
09:02:53,wordpress-mysql-8484774888-46s7v,146m,548Mi
09:02:58,wordpress-deployment-7c7bb76d6f-n4rz9,385m,191Mi
09:02:58,wordpress-deployment-7c7bb76d6f-q8q95,482m,204Mi
09:02:58,wordpress-deployment-7c7bb76d6f-sdtc8,381m,220Mi
09:02:58,wordpress-mysql-8484774888-46s7v,146m,548Mi
09:03:03,wordpress-deployment-7c7bb76d6f-n4rz9,385m,191Mi
09:03:03,wordpress-deployment-7c7bb76d6f-q8q95,482m,204Mi
09:03:03,wordpress-deployment-7c7bb76d6f-sdtc8,381m,220Mi
09:03:03,wordpress-mysql-8484774888-46s7v,146m,548Mi
09:03:08,wordpress-deployment-7c7bb76d6f-n4rz9,417m,197Mi
09:03:08,wordpress-deployment-7c7bb76d6f-q8q95,491m,210Mi
09:03:08,wordpress-deployment-7c7bb76d6f-sdtc8,410m,230Mi
09:03:08,wordpress-mysql-8484774888-46s7v,146m,548Mi
09:03:13,wordpress-deployment-7c7bb76d6f-n4rz9,417m,197Mi
09:03:13,wordpress-deployment-7c7bb76d6f-q8q95,491m,210Mi
09:03:13,wordpress-deployment-7c7bb76d6f-sdtc8,410m,230Mi
09:03:13,wordpress-mysql-8484774888-46s7v,146m,548Mi
09:03:18,wordpress-deployment-7c7bb76d6f-n4rz9,417m,197Mi
09:03:18,wordpress-deployment-7c7bb76d6f-q8q95,491m,210Mi
09:03:18,wordpress-deployment-7c7bb76d6f-sdtc8,410m,230Mi
09:03:18,wordpress-mysql-8484774888-46s7v,146m,548Mi
09:03:23,wordpress-deployment-7c7bb76d6f-66hfm,8m,15Mi
09:03:23,wordpress-deployment-7c7bb76d6f-n4rz9,427m,223Mi
09:03:23,wordpress-deployment-7c7bb76d6f-q8q95,482m,196Mi
