Users,Replicas,Avg CPU (m),Max CPU (m),Avg Memory (Mi),Max Memory (Mi),Avg Ingress CPU (m),Max Ingress CPU (m),Avg Ingress Memory (Mi),Max Ingress Memory (Mi),ModSecurity Blocked (%),Samples
100,1.0,2.23,4.0,267.26,477.0,1336.42,1531.0,81.7,83.0,100.0,250.0
200,1.0,2.18,4.0,267.5,477.0,1389.45,1555.0,84.22,85.0,100.0,250.0
300,1.0,2.22,4.0,267.5,477.0,1414.17,1570.0,86.32,88.0,99.2,250.0
400,1.0,2.22,4.0,267.5,477.0,1393.74,1600.0,89.12,92.0,99.2,250.0
500,1.0,2.22,4.0,267.5,477.0,1398.8,1606.0,91.11,95.0,88.0,250.0
Average,1.0,2.2140000000000004,4.0,267.452,477.0,1386.516,1572.4,86.494,88.6,97.28,250.0
