users,total_requests,success_rate (%),error_rate (%),avg_response (ms),p90_response (ms),p95_response (ms),avg_latency (ms),avg_connect (ms),throughput (req/s),cache none (%),waf active (%),apdex
100,268281.0,0.0,100.0,210.86,319.0,376.0,208.64,1.84,429.28,100.0,99.99,0.993
200,281429.0,0.0,100.0,401.82,681.0,836.0,399.03,4.93,450.45,100.0,99.99,0.88
300,285123.0,0.0,100.0,595.15,1020.8,1211.0,589.73,10.86,456.24,100.0,99.97,0.709
400,289278.0,0.0,100.0,781.91,1313.0,1574.0,773.9,17.31,463.25,100.0,99.96,0.631
500,293782.0,0.0,100.0,962.82,1656.0,1942.0,956.75,24.97,470.09,100.0,99.97,0.58
Average,283578.6,0.0,100.0,590.512,997.96,1187.8,585.61,11.982,453.86199999999997,100.0,99.976,0.7586
