Users,Avg CPU (%),Max CPU (%),CPU IOWait,Load Avg,Avg Memory (MB),Max Memory (MB),Avg I/O (S),Max I/O (S),Context Switches,Duration (s),Samples
100,91.67,101.0,0.31,4.11,4319.25,4337.0,1076.46,15376.0,26310.85,10.4,125.0
200,93.7,101.0,0.21,7.33,4315.5,4339.0,822.07,15544.0,26745.59,10.6,125.0
300,95.02,101.0,0.14,8.62,4324.89,4341.0,497.26,14368.93,27049.82,10.6,125.0
400,94.02,101.0,0.16,9.91,4340.81,4370.0,619.98,15476.0,26679.7,10.7,125.0
500,93.89,101.0,0.16,10.76,4330.41,4361.0,472.49,13208.0,26844.65,10.9,125.0
Average,93.66,101.0,0.196,8.146,4326.1720000000005,4349.6,697.652,14794.586,26726.122000000003,10.639999999999999,125.0
